time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
98304,48,505,0.4268889000000001,194,107.3,0.3819584250450134,0.011224406771361828,-0.014975177955057007,0.191845703125,0.0003,-1.068975149653852,0.2,470,0.020041289,-0.03086167946457863
100352,49,504,0.41233333999999994,198,106.18,0.46707695722579956,0.008884752224548719,-0.01423843395896256,0.178759765625,0.0003,-1.0340960012748837,0.2,480,0.015354512,-0.020962724462151527
102400,50,503,0.48902777999999997,203,97.17,0.5163765549659729,0.008971170106815408,-0.005736275145318359,0.143359375,0.0003,-1.0270607655867934,0.2,490,0.013765935,-0.00023393426090478897
104448,51,503,0.5064166499999999,207,101.12,0.5048706531524658,0.011545507638948039,-0.01008716171636479,0.13896484375,0.0003,-1.0222672507166863,0.2,500,0.01461139,-0.006001335568726063
106496,52,502,0.49,211,99.34,0.5204814672470093,0.00856301922176499,-0.013610771416279022,0.159619140625,0.0003,-1.0151868781074882,0.2,510,0.016760204,-0.027697300538420677
108544,53,502,0.4581666599999999,216,95.83,0.4380103349685669,0.00981458378228126,-0.01103696775971912,0.1462890625,0.0003,-1.0270397147163748,0.2,520,0.017069213,0.030461767688393593
110592,54,502,0.45658332,220,96.95,0.3477267026901245,0.010553095130308065,-0.013188682451436761,0.17880859375,0.0003,-0.9780900347977877,0.2,530,0.017830526,-0.002938040066510439
112640,55,501,0.42636112000000004,224,99.78,0.39913153648376465,0.008812200422835304,-0.008526395290391519,0.1404296875,0.0003,-0.9538921134546399,0.2,540,0.011156062,0.008813317865133286
114688,56,501,0.40700001,228,105.55,0.5680066347122192,0.007297844251297647,-0.006364861779729836,0.13359375,0.0003,-0.9688079202547669,0.2,550,0.01456015,-0.003402094356715679
116736,57,500,0.37447220999999997,233,106.47,0.3298800587654114,0.007005663878953783,-0.016373625719279517,0.172412109375,0.0003,-1.0323454739525915,0.2,560,0.017552827,-0.02186991088092327
118784,58,499,0.38988889,237,113.05,0.3388856053352356,0.010642134852969321,-0.014620225374528673,0.16962890625,0.0003,-1.027877146936953,0.2,570,0.014537652,-0.0453360490500927
120832,59,499,0.36588889,242,109.32,0.4047020673751831,0.0065780892888142265,-0.014187026847503148,0.17138671875,0.0003,-1.015557755343616,0.2,580,0.017642876,0.03902598097920418
122880,60,498,0.34652778000000006,246,105.06,0.4969640374183655,0.0074836307278019374,-0.015145255332026864,0.1640625,0.0003,-1.0655388422310352,0.2,590,0.016542938,-0.03117525577545166
124928,61,497,0.38725000000000004,250,99.78,0.586699366569519,0.007412134050537133,-0.013832652338896878,0.18994140625,0.0003,-1.0690002908930183,0.2,600,0.019992262,0.0158709567040205
126976,62,497,0.37966668,255,99.88,0.5846350193023682,0.00965059712762013,-0.014948746634763666,0.190185546875,0.0003,-0.9874884249642492,0.2,610,0.025665153,0.027169302105903625
129024,63,496,0.41638889000000007,259,95.48,0.4596983790397644,0.007790753825247521,-0.012124240479897708,0.159375,0.0003,-0.9563367137685418,0.2,620,0.016147684,-0.010591250844299793
131072,64,495,0.43844445,264,94.94,0.5475753545761108,0.010762729901762214,-0.009751818349468522,0.13125,0.0003,-0.9075145537033678,0.2,630,0.0134070655,0.005249427165836096
133120,65,495,0.4559722200000001,268,93.29,0.5283888578414917,0.010734330865670928,-0.011329958784335759,0.140234375,0.0003,-0.9085759505629539,0.2,640,0.014836754,-0.005782846361398697
135168,66,494,0.44005556000000007,273,92.92,0.542640745639801,0.009801234772021416,-0.011845442654157523,0.155859375,0.0003,-0.9186305060982705,0.2,650,0.01594114,-0.021222680807113647
137216,67,494,0.43927778999999995,277,82.85,0.6498273015022278,0.009884169162251055,-0.013844578666612506,0.1728515625,0.0003,-0.923371036350727,0.2,660,0.019997155,-0.0019086599349975586
