time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/n_updates
49152,24,511,186.47,0.02683335,96,0.2,0.15634765625,0.0003,-0.01301741997449426,0.013528071,-1.6860504195094108,-0.0025551477447152138,0.06588482856750488,0.0013952836452290284,230
51200,25,511,189.93,0.02683335,100,0.2,0.128515625,0.0003,-0.011592529021436348,0.016093196,-1.6781166519969701,-0.01304246298968792,0.19744282960891724,0.0002243777012154169,240
53248,26,512,189.67,0.034666670000000004,103,0.2,0.131689453125,0.0003,-0.015485738941788441,0.018450715,-1.6958033636212348,0.002865951508283615,-0.9153519868850708,8.902111709971905e-05,250
55296,27,510,182.9,0.04344444,108,0.2,0.144580078125,0.0003,-0.009115362496959278,0.010311408,-1.7284713044762612,-0.03244771063327789,0.11098718643188477,0.0019838808934537155,260
57344,28,511,189.83,0.04527777,112,0.2,0.13212890625,0.0003,-0.014054725608730223,0.01378993,-1.659287466853857,0.008308370597660542,0.23167073726654053,0.0027752087828957885,270
59392,29,511,185.23,0.06511111,116,0.2,0.170751953125,0.0003,-0.01428322043393564,0.017076217,-1.6610676158219575,-0.03543243557214737,-0.6315971612930298,0.000501632281611819,280
61440,30,511,181.05,0.07708334,120,0.2,0.18076171875,0.0003,-0.012436136504402385,0.017958818,-1.665028715506196,-0.01675260253250599,0.3894174098968506,0.0025815770286499173,290
63488,31,511,169.44,0.09522222000000001,124,0.2,0.128515625,0.0003,-0.01319555991794914,0.013525587,-1.6487605847418307,-0.010649187490344048,0.3886653780937195,0.002292063414643053,300
65536,32,512,160.91,0.11099998,127,0.2,0.152587890625,0.0003,-0.008298749777895863,0.017701156,-1.6378143977373838,-0.03278918191790581,0.3787909746170044,0.002360237815264554,310
67584,33,512,168.46,0.13144443,131,0.2,0.12939453125,0.0003,-0.010068690340267495,0.012615921,-1.6231076471507548,0.006701561622321606,0.3932139277458191,0.004561700411613856,320
69632,34,512,163.11,0.13672222,135,0.2,0.11220703125,0.0003,-0.010053276228427421,0.01067542,-1.598139665648341,-0.04465848580002785,0.31422901153564453,0.0023619511446668186,330
