time/fps,time/total_timesteps,shield/actions_allowed,rollout/ep_rew_mean,time/iterations,shield/actions_block_ignored,shield/actions_blocked,shield/constant_delta,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,shield/stage,shield/transition_timestep,shield/ignore_prob
3864,3244032,1628431,0.7814444899559021,66,0,1383476,,839,40.93,0.0003,0.00988383178046206,650,0.0032281012,0.2,0.0321044921875,-0.39928233112829425,-0.0016580833771513426,0.007505306974053383,0.5353782176971436,,,
3862,3293184,1653367,0.7454444766044617,67,0,1407076,,852,39.03,0.0003,0.010555188831252357,660,0.0030267884,0.2,0.03268636067708333,-0.3858946725726128,-0.0014236922662045496,-0.0024131382815539837,0.5237218141555786,,,
3859,3342336,1678450,0.7618332505226135,68,0,1430575,,865,41.02,0.0003,0.010646236823231448,670,0.0029311453,0.2,0.028129069010416667,-0.3780617695922653,-0.0012167718228738521,0.0054949307814240456,0.5210716724395752,,,
3856,3391488,1703245,0.7459444403648376,69,0,1454325,,879,39.03,0.0003,0.009927883265481796,680,0.0031427902,0.2,0.032755533854166664,-0.3899154241041591,-0.0016700734363742716,-0.0014522946439683437,0.5179403424263,,,
3854,3440640,1728476,0.6965555548667908,70,0,1477635,,892,39.94,0.0003,0.01090227802900093,690,0.0032122482,0.2,0.033646647135416666,-0.3953006320477774,-0.0015623934337781974,-0.0021871645003557205,0.5112932920455933,,,
3852,3489792,1753306,0.7776110768318176,71,0,1501376,,905,41.52,0.0003,0.010472558819310506,700,0.0031117098,0.2,0.03130289713541667,-0.38540129743826884,-0.0013277916278639167,0.005882700439542532,0.5055155754089355,,,
3852,3538944,1778323,0.7743333578109741,72,0,1524775,,918,39.69,0.0003,0.011195688120157381,710,0.003775113,0.2,0.03628946940104167,-0.39392185960896314,-0.0019030478317290545,0.005183457862585783,0.5051312446594238,,,
3852,3588096,1803502,0.785694420337677,73,0,1548145,,931,42.1,0.0003,0.011134556871305297,720,0.0032980593,0.2,0.033380126953125,-0.395016415293018,-0.001545269189955434,-0.0007166313007473946,0.532543957233429,,,
3851,3637248,1828640,0.7868053913116455,74,0,1571438,,944,41.54,0.0003,0.011732527348067378,730,0.0030622613,0.2,0.03272705078125,-0.3983690637008597,-0.0017470644316442,0.00248792115598917,0.5073500871658325,,,
3850,3686400,1853704,0.7465000152587891,75,0,1594751,,957,39.48,0.0003,0.010447495844467388,740,0.002934139,0.2,0.032389322916666664,-0.39683837530513605,-0.0020347056963752647,0.004169799853116274,0.5284579992294312,,,
3848,3735552,1878691,0.7775833010673523,76,0,1618150,,970,42.22,0.0003,0.010562264882901217,750,0.0027769394,0.2,0.030851236979166665,-0.4062146275149037,-0.001353956373228963,0.008892031386494637,0.5237991809844971,,,
3847,3784704,1903717,0.7731388807296753,77,0,1641466,,983,43.48,0.0003,0.010853368408182481,760,0.0036445,0.2,0.031935628255208334,-0.4120754030998796,-0.001593873249172854,0.00639306241646409,0.5178298950195312,,,
3845,3833856,1928800,0.7821110486984253,78,0,1664628,,996,44.35,0.0003,0.00932519201329948,770,0.0032618428,0.2,0.03430379231770833,-0.4043873282459875,-0.0018475721632664015,0.004230592865496874,0.5239446759223938,,,
3844,3883008,1954173,0.7411110401153564,79,0,1687531,,1010,40.58,0.0003,0.010968884233686063,780,0.005639899,0.2,0.034926350911458334,-0.41845169994048775,-0.0020849646700905095,0.004579491447657347,0.5086641311645508,,,
3842,3932160,1979116,0.7436110973358154,80,0,1710895,,1023,40.75,0.0003,0.01040138698129643,790,0.0031538543,0.2,0.0343994140625,-0.42620134470053017,-0.0019321346520276468,0.006796044763177633,0.5396626591682434,,,
3841,3981312,2003948,0.7239444255828857,81,0,1734437,,1036,39.99,0.0003,0.011816064433999903,800,0.0034028748,0.2,0.03702392578125,-0.41870010254594187,-0.0021630251589764764,0.012191016227006912,0.4983558654785156,,,
3840,4030464,2028680,0.7921110391616821,82,0,1758033,,1049,45.02,0.0003,0.010439731997757917,810,0.0031174894,0.2,0.0344970703125,-0.41128383073955777,-0.0018132446817617164,0.004451193381100893,0.518333375453949,3,4000008,1
3840,4079616,2053342,0.7703611254692078,83,0,1781730,,1062,40.53,0.0003,0.010875832723346928,820,0.0031166465,0.2,0.029532877604166667,-0.41113598528318107,-0.0012160485586719006,0.0017137974500656128,0.525924801826477,,,
3839,4128768,2077566,0.7091388702392578,84,0,1805744,,1075,39.06,0.0003,0.01101532630273141,830,0.0030602235,0.2,0.032881673177083334,-0.3925186356840034,-0.0019035904567620795,0.0054050893522799015,0.5127612352371216,,,
3839,4177920,2102229,0.7549722194671631,85,0,1829463,,1088,43.2,0.0003,0.011174406577386739,840,0.0037872717,0.2,0.031787109375,-0.399329152625675,-0.0019188320189035342,0.00030860211700201035,0.5332204699516296,,,
3839,4227072,2126879,0.7941944599151611,86,0,1853116,,1100,43.09,0.0003,0.011130923782426786,850,0.0030921695,0.2,0.028153483072916666,-0.39702785812939206,-0.0015770460267352368,0.004702713340520859,0.5203590393066406,,,
3839,4276224,2151116,0.741361141204834,87,0,1877313,,1113,41.03,0.0003,0.01072056179837091,860,0.0031167448,0.2,0.03304239908854167,-0.40348822086428604,-0.0019864554910782317,0.0037393360398709774,0.5213029980659485,,,
3838,4325376,2175601,0.7751944661140442,88,0,1901244,,1126,42.47,0.0003,0.011071878532675328,870,0.0033275343,0.2,0.0337646484375,-0.39388774797941245,-0.0020740610461264927,0.0002034665085375309,0.506508469581604,,,
3838,4374528,2199993,0.7355278730392456,89,0,1925387,,1139,40.17,0.0003,0.010906468511772497,880,0.0027913407,0.2,0.028841145833333335,-0.3876059583543489,-0.0017350544466050147,0.0038166455924510956,0.5267406105995178,,,
3838,4423680,2224667,0.7059999108314514,90,0,1949222,,1152,39.86,0.0003,0.010782748941710451,890,0.0030349586,0.2,0.03173828125,-0.38378901917797825,-0.0017558004345119115,-0.0028267372399568558,0.5085092782974243,,,
3838,4472832,2249128,0.8150833249092102,91,0,1973159,,1165,41.92,0.0003,0.010656263788162808,900,0.0029352077,0.2,0.030478922526041667,-0.37946332612385353,-0.0019200292291922476,0.00454202713444829,0.5290366411209106,,,
