time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
422,4770,2015232,41,17.8,0.7505859136581421,0.009610049426555634,-0.17198024101089687,400,0.01705208514831611,0.0003,0.024444580078125,0.0024360956,0.2,0.28405749797821045,-0.001472741213607757
432,4773,2064384,42,18.17,0.7881601452827454,0.011911905370652676,-0.16046439802351717,410,0.01926928387983935,0.0003,0.018719482421875,0.0033099225,0.2,0.27150166034698486,-0.0009792217538536836
442,4772,2113536,43,17.81,0.7812538743019104,0.006338066421449184,-0.1597699716105126,420,0.018751356955908703,0.0003,0.021189371744791668,0.002627012,0.2,0.2891961336135864,-0.000942212772891556
453,4772,2162688,44,18.26,0.7490742206573486,0.012104738503694534,-0.1523760012545002,430,0.017728804828463278,0.0003,0.017331949869791665,0.0023340492,0.2,0.28383147716522217,-0.0009078069166813899
463,4771,2211840,45,18.44,0.8358047008514404,0.010969128459692001,-0.16936388642837605,440,0.016413460376982887,0.0003,0.030999755859375,0.0050815246,0.2,0.2797281742095947,-0.0014257745118205396
473,4773,2260992,46,17.33,0.7521328926086426,0.005208263639360666,-0.18231976707465947,450,0.01592016184767999,0.0003,0.03698527018229167,0.003982374,0.2,0.2878185510635376,-0.0016643577555138715
483,4775,2310144,47,19.23,0.7562616467475891,0.008371787145733833,-0.16637149880019328,460,0.01904470654092923,0.0003,0.033575439453125,0.01864423,0.2,0.27345824241638184,-0.0017887846174441317
493,4777,2359296,48,17.93,0.7779492735862732,0.01698431931436062,-0.15057341631812354,470,0.0186917939237901,0.0003,0.02452392578125,0.0021337888,0.2,0.28321337699890137,-0.0015819627931705326
503,4779,2408448,49,18.58,0.7473515868186951,0.004237010609358549,-0.15211857303899404,480,0.017482030515384394,0.0003,0.020113118489583335,0.0102214385,0.2,0.283080518245697,-0.0012174153669548104
514,4778,2457600,50,17.73,0.7425547242164612,0.0053203473798930645,-0.16846616632149866,490,0.018922317943361123,0.0003,0.031040445963541666,0.003685409,0.2,0.27318620681762695,-0.0018293199387092803
524,4777,2506752,51,19.41,0.8037657141685486,0.001907501369714737,-0.16741033999715,500,0.01723708547797287,0.0003,0.027528889973958335,0.0064972304,0.2,0.28682345151901245,-0.00190392032576104
534,4779,2555904,52,18.02,0.7498477101325989,0.007293504662811756,-0.17609532726928592,510,0.017372920876611412,0.0003,0.027231852213541668,0.0025054668,0.2,0.28756457567214966,-0.0013271801957671415
544,4782,2605056,53,18.21,0.7879843711853027,-0.00010581221431493759,-0.15948978257365526,520,0.018918689087877284,0.0003,0.026318359375,0.0040820134,0.2,0.27100318670272827,-0.0016811223116746988
554,4784,2654208,54,19.35,0.8246093988418579,0.007015138864517212,-0.14203677905801063,530,0.01850570299769364,0.0003,0.022043863932291668,0.0041084434,0.2,0.28101807832717896,-0.0017835926929971417
565,4784,2703360,55,19.58,0.8028516173362732,0.004430929198861122,-0.15313766801652187,540,0.016642949501086454,0.0003,0.024196370442708334,0.003187961,0.2,0.2913210988044739,-0.0009950819561405902
575,4783,2752512,56,18.37,0.8061913847923279,0.006974330637603998,-0.16293402725908285,550,0.017339774203962103,0.0003,0.026558430989583333,0.0031450822,0.2,0.2811099886894226,-0.0012163507814572465
585,4781,2801664,57,18.46,0.7966835498809814,0.00379063468426466,-0.15758175866600746,560,0.01844805826888963,0.0003,0.03264973958333333,0.033781126,0.2,0.27391237020492554,-0.0018836623451837415
596,4780,2850816,58,17.77,0.740902304649353,-0.00036529218778014183,-0.14909105197293684,570,0.018762475192488637,0.0003,0.019486490885416666,0.0035690982,0.2,0.28073447942733765,-0.0011145550427196819
606,4779,2899968,59,18.19,0.7200586199760437,0.006015063729137182,-0.142622748343274,580,0.018227008430161125,0.0003,0.020503743489583334,0.004037116,0.2,0.2739233374595642,-0.0012110094129335872
617,4777,2949120,60,19.09,0.7374922037124634,0.005759557709097862,-0.16981555078333865,590,0.016151339340528162,0.0003,0.038865152994791666,0.0073164185,0.2,0.29248130321502686,-0.002097547784736283
627,4777,2998272,61,18.44,0.8082656264305115,0.008549527265131474,-0.14107182247486585,600,0.018758224528331386,0.0003,0.033005777994791666,0.027234277,0.2,0.27482128143310547,-0.0020101561667615897
640,4759,3047424,62,19.01,0.7759453654289246,0.010899447835981846,-0.14210314446827396,610,0.01842701107210208,0.0003,0.0209716796875,0.0033156294,0.2,0.28617388010025024,-0.0010875696600123775
650,4760,3096576,63,17.35,0.7223789095878601,0.009952308610081673,-0.1398899750590014,620,0.01771659112734293,0.0003,0.026902262369791666,0.008767748,0.2,0.2812042832374573,-0.0014328446033080886
