time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
65536,32,467,0.8458928399999999,140,27.17,0.4250067472457886,0.009306326389923925,-0.008840745440102183,0.096630859375,0.0003,-0.4292420340701938,0.2,310,0.019757953,-0.003263450926169753
67584,33,466,0.8179643000000002,144,28.1,0.18256866931915283,0.013914655883127125,-0.005172402055177372,0.06728515625,0.0003,-0.4430874393321574,0.2,320,0.0109531535,-0.010135278105735779
69632,34,466,0.8522857300000001,149,28.82,0.37181365489959717,0.0163134904258186,-0.0057486127421725545,0.09697265625,0.0003,-0.5072323105297982,0.2,330,0.012839818,-0.01262781023979187
71680,35,466,0.8653571499999999,153,27.03,0.335562527179718,0.007570874975499464,-0.005376329099090071,0.0791015625,0.0003,-0.4792430621571839,0.2,340,0.009165398,0.006021192763000727
73728,36,466,0.84432141,157,27.99,0.3670417070388794,0.008004812742365175,-0.006662265471823048,0.06630859375,0.0003,-0.415141932759434,0.2,350,0.008821862,0.011868643574416637
75776,37,466,0.8693928400000002,162,28.88,0.36785703897476196,0.008890982217781129,-0.003554256849747617,0.05546875,0.0003,-0.35580768464133145,0.2,360,0.005478075,-0.01097910851240158
77824,38,465,0.86635714,167,29.82,0.480105459690094,0.0029875569405703574,-0.004457091481890529,0.048486328125,0.0003,-0.3176401151809841,0.2,370,0.0068028034,-0.0304257795214653
79872,39,465,0.8623214100000002,171,28.6,0.28289246559143066,0.011108751659776317,-0.004762037588807289,0.0462890625,0.0003,-0.3492747263517231,0.2,380,0.00869572,0.013594180345535278
81920,40,465,0.8749642900000002,176,27.09,0.3354809880256653,0.0068871623494487725,-0.004339785845513688,0.06875,0.0003,-0.3425295094028115,0.2,390,0.012375062,-0.017643015831708908
83968,41,465,0.85825001,180,26.83,0.3194814920425415,0.006735958252465935,-0.004532495666353498,0.06845703125,0.0003,-0.3676373703405261,0.2,400,0.019313164,-0.0012042676098644733
86016,42,465,0.8737143000000002,184,27.78,0.21006643772125244,0.01425657619111007,-0.0040735610302363055,0.059765625,0.0003,-0.32072759750299157,0.2,410,0.012467638,0.013156347908079624
88064,43,465,0.8840714100000001,189,26.94,0.3709908723831177,0.005346885283506709,-0.00938917551538907,0.056787109375,0.0003,-0.2973007557913661,0.2,420,0.008875616,-0.016463689506053925
90112,44,465,0.8740357300000001,193,27.03,0.49215614795684814,0.0035329177258972776,-0.0028122796793468297,0.0662109375,0.0003,-0.2788971096277237,0.2,430,0.010249281,0.0012776736402884126
92160,45,465,0.85757143,198,26.1,0.44081592559814453,0.005329500096922857,-0.004193057853262872,0.057861328125,0.0003,-0.26830654330551623,0.2,440,0.009826437,0.002898739418014884
94208,46,463,0.8571429,203,26.37,0.4996318221092224,0.00460045359468495,-0.004807414135575528,0.059619140625,0.0003,-0.24785004523582757,0.2,450,0.010192636,-0.011728990823030472
96256,47,462,0.88303571,208,27.49,0.3641853332519531,0.007142730958366883,-0.0041058308728679545,0.07822265625,0.0003,-0.24989578169770538,0.2,460,0.012491351,0.0011136960238218307
98304,48,461,0.8933214100000001,213,27.25,0.4328635334968567,0.004484576149479835,-0.0032672275447112042,0.05771484375,0.0003,-0.25855773827061057,0.2,470,0.008639334,-0.011544951237738132
100352,49,461,0.86925003,217,26.04,0.42110675573349,0.005083969805491506,-0.00011492563498904929,0.06103515625,0.0003,-0.24892753646709026,0.2,480,0.009611449,-0.0016313104424625635
102400,50,461,0.89760717,221,25.89,0.3368529677391052,0.00750259611158981,0.0005624337572953664,0.066796875,0.0003,-0.28073870069347323,0.2,490,0.04465856,-0.014450851827859879
104448,51,461,0.89203569,226,27.6,0.5643501281738281,0.0021819558005518047,-0.005066582789004315,0.045361328125,0.0003,-0.251396112376824,0.2,500,0.009511647,-0.014582310803234577
106496,52,461,0.88674997,230,29.08,0.42664873600006104,0.004405938186027925,-0.005326648401387501,0.06337890625,0.0003,-0.264368626428768,0.2,510,0.00840628,0.0294845812022686
108544,53,461,0.8885357599999999,234,28.71,0.4882686138153076,0.0028784763453586493,-0.010321577095601242,0.07275390625,0.0003,-0.3029944223817438,0.2,520,0.007040873,-0.02247205190360546
110592,54,462,0.8934643000000001,239,27.32,0.29546481370925903,0.006050070000128471,-0.005682099283149,0.06142578125,0.0003,-0.2871755690779537,0.2,530,0.0073795933,-0.010602736845612526
112640,55,462,0.8888571100000001,243,25.83,0.3721598982810974,0.005197873857832746,-0.0021982377671520225,0.08095703125,0.0003,-0.23605598360300065,0.2,540,0.016682375,-0.02582579292356968
114688,56,462,0.83885712,248,26.73,0.4884478449821472,0.002417028225681861,-0.006192941716290079,0.0669921875,0.0003,-0.24138951578643172,0.2,550,0.010969888,-0.013332967646420002
116736,57,462,0.8602857,252,26.22,0.18804341554641724,0.013627852244098904,-0.008213902832358145,0.0791015625,0.0003,-0.31505303201265633,0.2,560,0.011655113,-0.007148675620555878
118784,58,462,0.85685716,256,26.43,0.4023958444595337,0.004458400540534058,-0.010290232076658867,0.10498046875,0.0003,-0.3178118429146707,0.2,570,0.012319618,-0.017299892380833626
120832,59,461,0.83182141,261,31.15,0.3726497292518616,0.007464177309520892,-0.00605225906620035,0.09912109375,0.0003,-0.411783869471401,0.2,580,0.016524747,-0.01933571882545948
122880,60,461,0.8515714200000001,266,31.04,0.3447366952896118,0.006869204352551605,-0.00858918149751844,0.11142578125,0.0003,-0.4697066475637257,0.2,590,0.01885096,-0.04874016344547272
124928,61,460,0.8764285599999999,271,29.04,0.39417392015457153,0.004366992483119248,-0.009692778285534586,0.10625,0.0003,-0.3901295280084014,0.2,600,0.017532557,-0.013234904035925865
126976,62,460,0.8993213700000001,275,28.19,0.5076354742050171,0.003435755503596738,-0.006691266874258872,0.086474609375,0.0003,-0.31816489924676716,0.2,610,0.010533256,-0.01577744260430336
129024,63,460,0.88907143,279,28.53,0.6434409618377686,0.0021048428061476443,-0.0012746854481520131,0.057763671875,0.0003,-0.2814688084181398,0.2,620,0.009992058,0.0028915689326822758
131072,64,461,0.8692857100000001,284,28.6,0.3479779362678528,0.00580759562071762,-0.005286399748001713,0.070654296875,0.0003,-0.3238942022435367,0.2,630,0.01899223,0.0036719231866300106
133120,65,460,0.88753569,288,26.26,0.4452441930770874,0.004163223396972171,-0.006233294184494298,0.073828125,0.0003,-0.27083657602779565,0.2,640,0.011258856,-0.01751483418047428
135168,66,460,0.88057145,293,25.35,0.3852536082267761,0.005770307957209298,-0.0036027771660883446,0.051171875,0.0003,-0.2121720148716122,0.2,650,0.010894272,0.04682167246937752
137216,67,460,0.9015000099999999,297,24.86,0.43161994218826294,0.005736318082199432,-0.005237114299234236,0.045947265625,0.0003,-0.20713073185179381,0.2,660,0.004051988,-0.009374127723276615
139264,68,461,0.88850005,301,25.76,0.4976251721382141,0.0019400958408368751,-0.005991436693875585,0.071875,0.0003,-0.20809107685927303,0.2,670,0.007906301,-0.0008971669594757259
141312,69,461,0.88142857,306,27.74,0.45069342851638794,0.003892190293117892,-0.00922737071668962,0.08662109375,0.0003,-0.24838737505488098,0.2,680,0.021038752,-0.011001620441675186
143360,70,461,0.86650001,310,26.87,0.49681025743484497,0.002082367958610121,-0.0035727356109418905,0.08369140625,0.0003,-0.268897978682071,0.2,690,0.01438123,-0.002760013798251748
