time/fps,time/total_timesteps,time/iterations,shield/stage,rollout/ep_rew_mean,shield/transition_timestep,time/time_elapsed,shield/delta,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss
4527,2113536,43,,0.7778788805007935,,466,,18.55,0.016915199173430057,0.002117987,0.007825980894267559,0.014005533854166667,420,0.2,0.2873128056526184,-0.0008050550867968316,0.0003,-0.13167450780747458
4534,2162688,44,,0.7702696323394775,,476,,17.7,0.018615523778862553,0.0039104517,0.008666882291436195,0.016623942057291667,430,0.2,0.2745717763900757,-0.0009521307509809655,0.0003,-0.12793512996286155
4541,2211840,45,,0.7400937676429749,,486,,18.1,0.015967873712603855,0.0062089995,0.007708548568189144,0.0628173828125,440,0.2,0.3017612099647522,-0.0021768614487882587,0.0003,-0.16964434706994022
4548,2260992,46,,0.7959452867507935,,497,,19.24,0.016767242157948205,0.004601233,0.007488151080906391,0.0416015625,450,0.2,0.2737688422203064,-0.002183232380290671,0.0003,-0.1910879824931423
4555,2310144,47,,0.7679491639137268,,507,,18.44,0.01759702756656528,0.07764189,0.006869829259812832,0.03460693359375,460,0.2,0.2911960482597351,-0.001975065982878732,0.0003,-0.13984263751966258
4562,2359296,48,,0.7686874270439148,,517,,18.22,0.01832894022372784,0.0020810438,0.008066745474934578,0.016239420572916666,470,0.2,0.2852941155433655,-0.001039513683531368,0.0003,-0.12579231586617728
4568,2408448,49,,0.7706913948059082,,527,,17.86,0.01907377523893956,0.002546523,0.006749291904270649,0.019822184244791666,480,0.2,0.28367310762405396,-0.0010332973162197354,0.0003,-0.12825824884154524
4574,2457600,50,,0.7618867754936218,,537,,16.93,0.01871478691706822,0.006623128,0.007136734668165445,0.03570963541666667,490,0.2,0.2757871150970459,-0.0013373050994535637,0.0003,-0.14966989944223313
4580,2506752,51,,0.8247852325439453,,547,,19.02,0.019904044910072118,0.009390581,0.01276811957359314,0.032517496744791666,500,0.2,0.27118003368377686,-0.0015907643427757042,0.0003,-0.1489560273087894
4587,2555904,52,,0.7653476595878601,,557,,19.12,0.016604552439093822,0.008639265,0.013389332219958305,0.03586222330729167,510,0.2,0.29084867238998413,-0.0014692273522693238,0.0003,-0.1708187731448561
4593,2605056,53,,0.7281249761581421,,567,,18.52,0.01704518206048912,0.0070589054,0.004072754178196192,0.036199951171875,520,0.2,0.28897279500961304,-0.00147151656465212,0.0003,-0.19316837287818392
4596,2654208,54,,0.7604102492332458,,577,,17.3,0.01704312924290813,0.004436067,0.0021519106812775135,0.027756754557291666,530,0.2,0.2992374300956726,-0.0013952448992010128,0.0003,-0.1736432755443578
4600,2703360,55,,0.7480898499488831,,587,,18.37,0.01735317285420024,0.003012356,0.008182544261217117,0.02572021484375,540,0.2,0.28755390644073486,-0.0011223462394809758,0.0003,-0.16121522665489466
4602,2752512,56,,0.8052070736885071,,598,,19.32,0.01764268180631916,0.0057825944,0.014875171706080437,0.021586100260416668,550,0.2,0.2801596522331238,-0.0009363815632241312,0.0003,-0.15007918818543356
4604,2801664,57,,0.7599179744720459,,608,,17.57,0.015924319677166447,0.0049711983,-0.001366401556879282,0.022239176432291667,560,0.2,0.29043787717819214,-0.0011622300814754757,0.0003,-0.15170090560568497
4606,2850816,58,,0.7317109704017639,,618,,17.65,0.015860229554285375,0.004565121,0.0012779268436133862,0.027349853515625,570,0.2,0.2888331413269043,-0.001425232163092005,0.0003,-0.15499647532900174
