time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
977,3883008,79,3972,17.19,2133017,0,1527698,0.7430468797683716,-0.3231929290263603,-0.0010472887655244751,0.0003,0.025590006510416666,0.01708472332272019,0.28461259603500366,780,0.2,0.013133114203810692,0.002706812,,,
990,3932160,80,3971,19.03,2170156,0,1539198,0.786507785320282,-0.31072648914996537,-0.0009901769053006623,0.0003,0.023891194661458334,0.018000952737929767,0.2734508514404297,790,0.2,0.005895550828427076,0.0027356849,,,
1002,3981312,81,3971,18.73,2207352,0,1550629,0.8156289458274841,-0.3167485640927528,-0.0008641263267842684,0.0003,0.020210774739583333,0.018022327812650472,0.2802211046218872,800,0.2,0.003549214918166399,0.0046322728,,,
1014,4030464,82,3973,15.43,0,0,0,0.06240624934434891,-0.31245749675823997,-0.0005859729055979793,0.0003,0.022564697265625,0.01672579564328771,0.2870218753814697,810,0.2,0.008702913299202919,0.0022557643,3,0.0,4000008
1024,4079616,83,3981,20.83,0,0,0,0.1421210914850235,-0.384131345913435,-0.011077142472640845,0.0003,0.09269002278645834,0.0680103495096167,0.12833303213119507,820,0.2,0.03540151193737984,0.009978198,,,
1035,4128768,84,3988,21.64,0,0,0,0.2690078020095825,-0.4450087594644477,-0.020295889753712496,0.0003,0.14933268229166666,0.04219868292178338,0.23841333389282227,830,0.2,0.007437882944941521,0.022829473,,,
1045,4177920,85,3995,22.98,0,0,0,0.3682500123977661,-0.4707140658205996,-0.021018484543310477,0.0003,0.16576131184895834,0.03663247671502177,0.4391275644302368,840,0.2,-0.011684158816933632,0.028353736,,,
1056,4227072,86,4002,21.48,0,0,0,0.4899882376194,-0.4828514012352874,-0.018331460510671603,0.0003,0.150250244140625,0.03816654291877057,0.46598076820373535,850,0.2,0.0071080755442380905,0.007976992,,,
1066,4276224,87,4010,21.74,0,0,0,0.5652773380279541,-0.44349651200075946,-0.01823795242914154,0.0003,0.16030476888020834,0.0359320116743523,0.4499320387840271,860,0.2,-0.007985325530171394,0.01170821,,,
1076,4325376,88,4017,22.12,0,0,0,0.7287383079528809,-0.39825082131040596,-0.01445358371711336,0.0003,0.127978515625,0.03354592699227699,0.4046916961669922,870,0.2,0.01110939309000969,0.010907029,,,
1086,4374528,89,4024,20.53,0,0,0,0.7310585975646973,-0.336120881109188,-0.010217013207269095,0.0003,0.086175537109375,0.027031680783450914,0.35786622762680054,880,0.2,0.011242488399147987,0.018023686,,,
1097,4423680,90,4031,20.64,0,0,0,0.703238308429718,-0.30724149375843507,-0.006484907337138187,0.0003,0.068365478515625,0.019481585798591064,0.316767156124115,890,0.2,-0.001966496929526329,0.0066712163,,,
1107,4472832,91,4037,20.66,0,0,0,0.8094062209129333,-0.27735420756507667,-0.004594064103609223,0.0003,0.06461181640625,0.01995610213149727,0.30106353759765625,900,0.2,0.0033673252910375595,0.0063560815,,,
1118,4521984,92,4044,19.53,0,0,0,0.7448906898498535,-0.23486350198897224,-0.003384300201711691,0.0003,0.056134033203125,0.017767421194973092,0.30700773000717163,910,0.2,0.000825776718556881,0.0042068544,,,
1128,4571136,93,4050,16.29,0,0,0,0.6468788981437683,-0.2154420561855659,-0.002951556628977414,0.0003,0.04617513020833333,0.01819266495319122,0.29350143671035767,920,0.2,0.0049522640183568,0.009660029,,,
1139,4620288,94,4056,16.63,0,0,0,0.6755430102348328,-0.2077192677728211,-0.002854533644191785,0.0003,0.041792805989583334,0.019953532376287816,0.2905580997467041,930,0.2,0.00561920553445816,0.0052140565,,,
1149,4669440,95,4062,17.79,0,0,0,0.7496367692947388,-0.17378512458720555,-0.002097559763205936,0.0003,0.03283487955729167,0.018923285526883167,0.3082844018936157,940,0.2,0.009383976459503174,0.0034246559,,,
1159,4718592,96,4068,18.5,0,0,0,0.7685468196868896,-0.15893009319358195,-0.0018254516891223224,0.0003,0.027618408203125,0.01826414593839824,0.2957250475883484,950,0.2,0.0026166681200265884,0.0025685932,,,
1170,4767744,97,4074,15.64,0,0,0,0.6880038976669312,-0.13954621970963973,-0.0013380023636273108,0.0003,0.021431477864583333,0.01866050981795221,0.2895263433456421,960,0.2,0.012439670041203499,0.0019002407,,,
1180,4816896,98,4079,19.38,0,0,0,0.7556641101837158,-0.13603069099675244,-0.0016067164150323757,0.0003,0.027640787760416667,0.017867723010567715,0.2998223304748535,970,0.2,0.005531118717044592,0.0032362528,,,
1191,4866048,99,4085,19.61,0,0,0,0.8157343864440918,-0.1493914065261682,-0.0015811937574350546,0.0003,0.027622477213541666,0.017595801567464757,0.29231876134872437,980,0.2,0.0031376518309116364,0.0034583618,,,
1201,4915200,100,4090,18.14,0,0,0,0.7889335751533508,-0.1283395052421838,-0.0011093299930507784,0.0003,0.020249430338541666,0.018184145967825315,0.2830219268798828,990,0.2,0.011201932094991207,0.011818257,,,
1211,4964352,101,4096,17.48,0,0,0,0.7521679401397705,-0.12172622104408219,-0.0009502928323854576,0.0003,0.015606689453125,0.01766968482552329,0.2909044623374939,1000,0.2,0.002582273446023464,0.0017020222,,,
1222,5013504,102,4100,18.52,0,0,0,0.7969648241996765,-0.12030353149166331,-0.0010317995063208703,0.0003,0.014996337890625,0.018676824731664966,0.2857837677001953,1010,0.2,0.011469843797385693,0.0015182846,,,
