time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/policy_gradient_loss,shield_cutoff_timestep
4413,0.8937143087387085,3440640,24.2,70,779,0.0003,0.2,0.4192866086959839,-0.09835669841850177,-0.0017923112027347088,0.0017840358,690,0.02498779296875,0.00475220169282693,-0.002511731439123347,
4421,0.891964316368103,3489792,24.69,71,789,0.0003,0.2,0.42375802993774414,-0.1057518177840393,-0.015179228968918324,0.0051872185,700,0.028934733072916666,0.004579648396914612,-0.0023102922477846732,
4429,0.8772857785224915,3538944,23.87,72,798,0.0003,0.2,0.4034726023674011,-0.14685471752891316,-0.00565748568624258,0.005000201,710,0.037982177734375,0.005050837894183739,-0.003001827455985525,
4437,0.8743929266929626,3588096,24.49,73,808,0.0003,0.2,0.40554946660995483,-0.09334694842691534,0.004652512259781361,0.042195935,720,0.033675130208333334,0.0051770190829605175,-0.0030827825519130175,
4445,0.8994643688201904,3637248,22.59,74,818,0.0003,0.2,0.46639007329940796,-0.07618282177136279,0.0008856365457177162,0.0044340217,730,0.018764241536458334,0.004177192240240402,-0.0013706845444175996,
4453,0.8796071410179138,3686400,23.03,75,827,0.0003,0.2,0.41517478227615356,-0.06058465897028024,0.0022454126738011837,0.0035711024,740,0.010736083984375,0.005291034434291456,-0.000536215220381564,
4461,0.8784643411636353,3735552,23.46,76,837,0.0003,0.2,0.3793216347694397,-0.06022133803732383,-0.0019317127298563719,0.0026803312,750,0.01441650390625,0.005875920846483496,-0.0012749077835906065,
4468,0.9003214240074158,3784704,22.62,77,846,0.0003,0.2,0.37631261348724365,-0.06610673763013135,0.002039039973169565,0.0019534982,760,0.012809244791666667,0.005803206997006783,-0.0008312228135764598,
4476,0.889214277267456,3833856,22.81,78,856,0.0003,0.2,0.39807605743408203,-0.06453244549920782,0.011358321644365788,0.0020127262,770,0.013606770833333334,0.005135317032060508,-0.0013090829212766646,
4482,0.9008215069770813,3883008,22.6,79,866,0.0003,0.2,0.4281785488128662,-0.05284409374386693,0.003527773078531027,0.0013934815,780,0.008658854166666667,0.004645218121731886,-0.0005593035331912688,
4489,0.8639642596244812,3932160,22.59,80,875,0.0003,0.2,0.3993154764175415,-0.049003094719955696,0.004303883295506239,0.0009432508,790,0.00828857421875,0.0054796245689431086,-0.0005818955174315003,
4495,0.890250027179718,3981312,22.84,81,885,0.0003,0.2,0.38650357723236084,-0.05258515424793586,0.0050456225872039795,0.0014598133,800,0.009788004557291667,0.0059193765480813456,-0.0008830014376750721,
4491,0.8810356855392456,4030464,22.43,82,897,0.0003,0.2,0.41223716735839844,-0.053301889524057816,-0.0017366185784339905,0.002874342,810,0.010152180989583334,0.005547114389203974,-0.0006810785576514415,
4497,0.8911784887313843,4079616,22.25,83,907,0.0003,0.2,0.3969789147377014,-0.04954173799196724,0.0026570043992251158,0.0010114532,820,0.008900960286458334,0.005530660129261377,-0.000665125905682847,
4503,0.8871071338653564,4128768,23.69,84,916,0.0003,0.2,0.4312114119529724,-0.05230423842246334,-0.0042857518419623375,0.0023146942,830,0.008017985026041667,0.004860745946461975,-0.0005860373131023759,
4510,0.8790357112884521,4177920,23.27,85,926,0.0003,0.2,0.3803810477256775,-0.08040967364698494,-0.008352551609277725,0.0048117386,840,0.021384684244791667,0.005186780980087254,-0.0019448817203131816,
4516,0.8707143664360046,4227072,22.61,86,935,0.0003,0.2,0.36641544103622437,-0.0941705580703759,0.054679177701473236,0.018391462,850,0.02940673828125,0.005679730701558583,-0.0019006244313762484,
4522,0.8996428847312927,4276224,22.66,87,945,0.0003,0.2,0.42341434955596924,-0.13200406298662226,-0.008514439687132835,0.012012723,860,0.04097696940104167,0.004955159789096797,-0.0024073813806050263,
4527,0.8672500848770142,4325376,23.6,88,955,0.0003,0.2,0.3956894874572754,-0.12422683891297008,-0.004833192564547062,0.0062920335,870,0.026267496744791667,0.0055091801645782345,-0.0017256845034656484,
4532,0.8791786432266235,4374528,22.96,89,965,0.0003,0.2,0.4267624020576477,-0.12814719207429637,0.0021712305024266243,0.0044931476,880,0.028086344401041668,0.004581932304427027,-0.001775246060333302,
4538,0.9073571562767029,4423680,23.23,90,974,0.0003,0.2,0.37441587448120117,-0.14153879854129628,0.002375710057094693,0.0042792507,890,0.026969401041666667,0.006072471979435553,-0.0017065140101294673,
4543,0.8869285583496094,4472832,23.44,91,984,0.0003,0.2,0.3961098790168762,-0.125699605117552,0.0023481473326683044,0.0018752139,900,0.019673665364583332,0.005892496875518797,-0.0008470211852303085,
4549,0.9057499766349792,4521984,23.69,92,994,0.0003,0.2,0.3814658522605896,-0.11868513839241739,-0.0034737319219857454,0.0015687463,910,0.016623942057291667,0.00623388324923629,-0.001169594201989336,
4553,0.9063214659690857,4571136,23.45,93,1003,0.0003,0.2,0.44867783784866333,-0.12547077930842837,-0.006423518527299166,0.0034134935,920,0.024739583333333332,0.004367522523959148,-0.0014612518228508027,
4557,0.8979999423027039,4620288,23.21,94,1013,0.0003,0.2,0.41702771186828613,-0.13133162293039882,-0.0030162506736814976,0.002334318,930,0.022149658203125,0.005033477137900869,-0.0013464857750174512,
4561,0.870821475982666,4669440,22.66,95,1023,0.0003,0.2,0.3886323571205139,-0.11851723506115378,-0.0007136219646781683,0.0023007116,940,0.019352213541666666,0.005841938333590709,-0.0010839427436621918,
4566,0.9049285650253296,4718592,23.9,96,1033,0.0003,0.2,0.40747779607772827,-0.10477000360842795,0.00033636658918112516,0.0030227068,950,0.016859944661458334,0.0054163714597355766,-0.0012717491300615316,
4571,0.8674286007881165,4767744,23.88,97,1042,0.0003,0.2,0.38212376832962036,-0.1132501693481269,0.0046239313669502735,0.023178251,960,0.023642985026041667,0.005652995731846507,-0.0012484051601859391,
4576,0.9081072211265564,4816896,23.14,98,1052,0.0003,0.2,0.4022630453109741,-0.10282687878158564,0.0028943736106157303,0.0029523708,970,0.0229736328125,0.005103709733642366,-0.002090279776227059,
4581,0.895642876625061,4866048,23.85,99,1062,0.0003,0.2,0.45281529426574707,-0.12141516096501921,-0.008998828940093517,0.016369754,980,0.03236083984375,0.0042873956979140836,-0.0023971974044494954,
4585,0.9084284901618958,4915200,22.96,100,1071,0.0003,0.2,0.44231927394866943,-0.132828447521509,-0.004610414616763592,0.004159111,990,0.028515625,0.0045655171283215164,-0.0019464110962568763,
4590,0.8986071944236755,4964352,23.13,101,1081,0.0003,0.2,0.3963649868965149,-0.10525833670205126,0.0019467062084004283,0.0027479727,1000,0.020591227213541667,0.005657307718380859,-0.001638486414867657,
4585,0.8794642686843872,5013504,23.03,102,1093,0.0003,0.2,0.3664137125015259,-0.08729097150499002,0.0005207965150475502,0.0035622746,1010,0.021280924479166668,0.006412976752896308,-0.0012486993732333455,
