time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
61440,0.89512,129,473,8.6,30,0.01204314362257719,-0.25394942830316725,-0.003134867725748336,0.0022305592,290,0.034130859375,0.06991338729858398,0.013688408761663596,0.2,0.0003
63488,0.9141299999999998,134,473,8.51,31,-0.00015796348452568054,-0.2518050025217235,-0.0038243817260081416,0.0036872101,300,0.042431640625,0.0920112133026123,0.013735535501837148,0.2,0.0003
65536,0.91782,138,473,8.08,32,0.005693967454135418,-0.22499370202422142,-0.002335574287280906,0.0020178752,310,0.025830078125,0.0700179934501648,0.007980149636932766,0.2,0.0003
67584,0.9071899999999999,142,473,8.28,33,0.014508316293358803,-0.1980862355325371,-0.0029184246821387207,0.0017292887,320,0.02783203125,0.07532382011413574,0.010038643659208901,0.2,0.0003
69632,0.9141199999999999,147,472,7.64,34,-0.01705612614750862,-0.21210256149061024,-0.0031556956470012664,0.008625837,330,0.030517578125,0.06742960214614868,0.02145231499162037,0.2,0.0003
71680,0.8914299999999997,151,472,8.85,35,-0.03210940584540367,-0.2636572996620089,-0.0036349549023725557,0.025863467,340,0.05400390625,0.0754433274269104,0.01873594204807887,0.2,0.0003
73728,0.91314,156,471,8.67,36,0.015729477629065514,-0.3190406562760472,-0.0025760720891412348,0.0047802376,350,0.044873046875,0.02049952745437622,0.016963551994922454,0.2,0.0003
75776,0.8886299999999998,160,471,8.27,37,0.0127980662509799,-0.28292763414792715,-0.006161975715076551,0.004185945,360,0.056103515625,0.1287480592727661,0.012492578438832424,0.2,0.0003
77824,0.88774,165,471,9.31,38,0.008128774352371693,-0.2795014685951173,-0.004139581781055312,0.004029811,370,0.038623046875,0.10381728410720825,0.020702780727879143,0.2,0.0003
79872,0.9151199999999998,169,471,8.37,39,0.021573428064584732,-0.2529840314760804,-0.0029438786237733438,0.0025939916,380,0.045849609375,0.054209768772125244,0.013438877595035592,0.2,0.0003
81920,0.89359,173,471,8.7,40,-0.0007290155626833439,-0.21050522923469545,-0.003584249356936198,0.003102342,390,0.028662109375,0.1373133659362793,0.006771653526448063,0.2,0.0003
83968,0.87908,178,470,8.4,41,-0.01593710295855999,-0.21420003087259828,-0.004435043569537811,0.0028684195,400,0.0349609375,0.14091044664382935,0.013324093935079873,0.2,0.0003
86016,0.8842099999999999,182,470,7.6,42,0.001050853868946433,-0.18904275943059473,-0.0034323160398344044,0.004335432,410,0.028369140625,0.02983933687210083,0.020638660209806405,0.2,0.0003
88064,0.9107899999999998,187,470,7.8,43,0.007763105444610119,-0.18780660533811896,-0.004658279006980593,0.0037305937,420,0.024658203125,0.1246996521949768,0.020012912703168694,0.2,0.0003
90112,0.8844899999999999,191,470,8.6,44,-0.012043094262480736,-0.21319928686134518,-0.003686959500191733,0.009897357,430,0.0419921875,0.05599069595336914,0.013712435265915701,0.2,0.0003
92160,0.9091699999999999,196,470,8.08,45,-0.019905053079128265,-0.23967486009933053,-0.004450154090591241,0.0070331423,440,0.054296875,0.1720702052116394,0.018875128452054923,0.2,0.0003
94208,0.89755,200,470,8.3,46,0.02711324766278267,-0.20423771187197418,-0.005131845174764749,0.010147297,450,0.037109375,0.08105158805847168,0.016169656766578555,0.2,0.0003
96256,0.8952899999999999,204,470,7.35,47,0.006140385754406452,-0.17156893447972835,-0.0025504013887257316,0.0014211703,460,0.0181640625,0.055306196212768555,0.014578751337103313,0.2,0.0003
98304,0.91764,209,469,8.1,48,-0.013743193820118904,-0.15982984218280763,-0.007790012889017817,0.0058372477,470,0.041064453125,0.09848719835281372,0.019283996213198408,0.2,0.0003
100352,0.89377,214,468,8.81,49,0.003991642035543919,-0.1395481659565121,-0.0036086891559534706,0.0029841964,480,0.030859375,-0.10066843032836914,0.004788719770658645,0.2,0.0003
102400,0.9170099999999999,218,467,8.17,50,-0.008276041597127914,-0.15514938917476684,-0.00401161214831518,0.006246772,490,0.03173828125,0.06665313243865967,0.01646891688069445,0.2,0.0003
104448,0.8925099999999999,223,467,8.73,51,0.02972416952252388,-0.2013093247078359,-0.0026409898426209113,0.031603932,500,0.031689453125,0.07489013671875,0.009710090425869566,0.2,0.0003
106496,0.8759299999999999,228,465,8.82,52,0.0174519382417202,-0.3216775551903993,-0.0030246709022321737,0.009203777,510,0.0599609375,0.11414897441864014,0.013576057157479227,0.2,0.0003
108544,0.9205299999999998,233,465,8.83,53,0.0055938297882676125,-0.28579491837881504,-0.005088629016972846,0.008977126,520,0.0625,0.05771738290786743,0.01645412102188857,0.2,0.0003
110592,0.8869199999999998,238,464,8.51,54,0.008651644922792912,-0.2665463871322572,-0.004655540970270522,0.004215028,530,0.053759765625,0.06650656461715698,0.016368734223215144,0.2,0.0003
112640,0.88133,242,463,8.18,55,0.006869904231280088,-0.25581594607792796,-0.0038750511215766893,0.004752648,540,0.0435546875,0.141116201877594,0.016595134379167577,0.2,0.0003
114688,0.89738,247,462,9.36,56,-0.014716708101332188,-0.34949905751273036,-0.005225354300637264,0.043556385,550,0.058154296875,0.10242319107055664,0.021240314829628914,0.2,0.0003
116736,0.8731399999999998,252,462,9.01,57,-0.00024421466514468193,-0.46760235326364635,-0.004384447899792576,0.0045295157,560,0.06318359375,0.06702923774719238,0.010391697745217244,0.2,0.0003
118784,0.9101699999999999,256,462,8.9,58,-0.010926763527095318,-0.47441290309652684,-0.004994405298202764,0.0038206838,570,0.0525390625,0.12623703479766846,0.024217833729926495,0.2,0.0003
120832,0.8998999999999999,261,461,9.02,59,-0.020140064880251884,-0.3987196140922606,-0.005870764527935534,0.004002602,580,0.068017578125,-0.012404441833496094,0.007280099048148259,0.2,0.0003
122880,0.8908799999999999,266,461,8.03,60,-0.006447719410061836,-0.33669685139320793,-0.006439604510887875,0.005095561,590,0.071484375,0.10698157548904419,0.01083863492749515,0.2,0.0003
124928,0.9021499999999999,271,460,8.76,61,-0.007476573344320059,-0.3101917033083737,-0.0034188942903710996,0.002676535,600,0.034619140625,0.07754474878311157,0.01398302809393499,0.2,0.0003
126976,0.8928699999999998,275,460,8.73,62,0.0066652921959757805,-0.33167402995750306,-0.0053088331704202575,0.016432043,610,0.05703125,0.13194656372070312,0.00958806790295057,0.2,0.0003
129024,0.9251199999999997,280,460,8.32,63,0.009736234322190285,-0.33612809162586926,-0.0030606579697632697,0.002657936,620,0.0404296875,0.12247157096862793,0.013994905535582802,0.2,0.0003
131072,0.91692,284,459,8.19,64,-0.006446449086070061,-0.28259309735149146,-0.006529348436743021,0.0030071437,630,0.0529296875,0.1741599440574646,0.004550535185262561,0.2,0.0003
133120,0.9052099999999998,290,458,8.48,65,-0.009432396851480007,-0.2393817561212927,-0.0024219788043410516,0.0012589733,640,0.023828125,0.10324132442474365,0.008387048767326632,0.2,0.0003
