time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
4896,191.13,1966080,40,401,0.0,-0.012679533158370759,1.9409119547490287e-07,0.2,0.17119547526041667,0.01903014,-3.4959564208984375,390,0.0003,-1.4811015770460167,-0.03882390633225441
4896,192.71,2015232,41,411,0.0,-0.011702096643299834,1.9714288104211164e-07,0.2,0.188153076171875,0.01875823,-3.346442222595215,400,0.0003,-1.4759249987080694,-0.025958528742194176
4896,188.91,2064384,42,421,0.0,-0.011539368462460212,1.8986371818445018e-07,0.2,0.17608642578125,0.019279007,-3.7846946716308594,410,0.0003,-1.4732963390648366,-0.013178196735680103
4896,193.66,2113536,43,431,0.0,-0.011955777170442161,1.7399167060080008e-07,0.2,0.17215576171875,0.018422604,-2.234820604324341,420,0.0003,-1.436480231458942,-0.03711911290884018
4895,188.57,2162688,44,441,0.0,-0.00862066124464036,1.5922596031299936e-07,0.2,0.154132080078125,0.017865093,-3.453312397003174,430,0.0003,-1.4424238215511045,-0.018295804038643837
4895,194.89,2211840,45,451,0.0,-0.012570971474936717,1.474640512440691e-07,0.2,0.181182861328125,0.020443298,-3.126674175262451,440,0.0003,-1.430496095120907,-0.022215956822037697
4894,188.79,2260992,46,461,0.0,-0.010859010580134054,1.1457370913311078e-07,0.2,0.165216064453125,0.01773177,-3.6690449714660645,450,0.0003,-1.420667219782869,-0.016031214967370033
4894,196.69,2310144,47,471,0.0,-0.015289425952081123,1.1218703860893519e-07,0.2,0.184539794921875,0.020694515,-1.6372096538543701,460,0.0003,-1.4103340063244105,-0.020673179998993874
4894,196.43,2359296,48,482,0.0,-0.005717686709673823,2.1996318723975043e-05,0.2,0.156304931640625,0.017780326,-0.020494461059570312,470,0.0003,-1.382041914574802,-0.029588429257273674
4893,193.58,2408448,49,492,0.0,-0.011350580704856839,5.40582455702913e-07,0.2,0.17614949544270833,0.018557645,-3.1622586250305176,480,0.0003,-1.3761996374775967,-0.013425630517303944
