time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,shield_cutoff_timestep
748,0.7858397960662842,72,4728,3538944,18.86,0.01214126218110323,710,0.0003,0.01671142578125,-0.0010727565074679054,0.018028102660173316,0.0016833562,0.28456610441207886,0.2,-0.15755915809422733,
758,0.7039257884025574,73,4731,3588096,16.47,0.0016949963755905628,720,0.0003,0.01690673828125,-0.0008010847359097776,0.015576621425013096,0.0019818349,0.30043184757232666,0.2,-0.15450434987821307,
768,0.7955235242843628,74,4733,3637248,18.77,0.017018277198076248,730,0.0003,0.020640055338541668,-0.0010528158302804513,0.01788644956468488,0.0031361394,0.28097081184387207,0.2,-0.1528999089729041,
778,0.7833788990974426,75,4733,3686400,19.5,-0.007982823066413403,740,0.0003,0.021555582682291668,-0.000990455144316608,0.01838953803332212,0.033311915,0.2728610634803772,0.2,-0.1714033099046598,
788,0.7526953816413879,76,4734,3735552,17.45,0.009634939953684807,750,0.0003,0.044753011067708334,-0.002270442262094245,0.01604054779672879,0.004719134,0.28378230333328247,0.2,-0.22020914909274628,
799,0.8356289863586426,77,4736,3784704,18.71,0.007462403737008572,760,0.0003,0.04516805013020833,-0.0022431408775749635,0.017447502658857653,0.0320142,0.2894001603126526,0.2,-0.17995269868988545,
809,0.7366132140159607,78,4736,3833856,18.69,0.014688379131257534,770,0.0003,0.023917643229166667,-0.001486706485047762,0.016768683074769797,0.0020942774,0.3009225130081177,0.2,-0.16820744188347211,
819,0.7673163414001465,79,4736,3883008,18.73,0.006392634939402342,780,0.0003,0.021529134114583334,-0.0012809213012587861,0.016575961260847785,0.0025376652,0.2916029095649719,0.2,-0.17357475229073316,
830,0.7867186665534973,80,4736,3932160,18.44,0.014863882213830948,790,0.0003,0.022540283203125,-0.0013365929707409427,0.0165145115138633,0.0038027682,0.29582005739212036,0.2,-0.17014934696877995,
840,0.7949960231781006,81,4736,3981312,18.92,0.005079068709164858,800,0.0003,0.021903483072916667,-0.0011626969274402654,0.018379047193593578,0.0024347168,0.28743159770965576,0.2,-0.16583897843956946,
853,0.7209726572036743,82,4724,4030464,17.59,0.005476109683513641,810,0.0003,0.030515543619791665,-0.002032200157373154,0.0165292681856954,0.0042091324,0.28444361686706543,0.2,-0.16292875248473138,
863,0.7512187957763672,83,4725,4079616,17.55,0.010487155057489872,820,0.0003,0.022810872395833334,-0.0011709080453025913,0.017029756372600482,0.01107658,0.2782273292541504,0.2,-0.15165385339253892,
873,0.7391093969345093,84,4725,4128768,18.02,0.008806100115180016,830,0.0003,0.019114176432291668,-0.0010969085453931863,0.017862467467299817,0.010338573,0.2762506604194641,0.2,-0.13178399604124327,
884,0.7501289248466492,85,4725,4177920,17.81,0.007270434405654669,840,0.0003,0.013374837239583333,-0.001070927304711707,0.018886261291239256,0.0024924807,0.2859300971031189,0.2,-0.13352152825876448,
894,0.7396014928817749,86,4726,4227072,18.43,0.008326808921992779,850,0.0003,0.017812093098958332,-0.0010708810867678645,0.0186733969800116,0.0017110609,0.2840694785118103,0.2,-0.12497397788877909,
904,0.7794609665870667,87,4727,4276224,18.36,0.009205397218465805,860,0.0003,0.0168701171875,-0.0011230523837184592,0.016837059615500038,0.001401265,0.2893073558807373,0.2,-0.13300195367385945,
914,0.748898446559906,88,4727,4325376,18.47,0.015268754214048386,870,0.0003,0.016351318359375,-0.001294776604117942,0.017397821863899782,0.008783908,0.2908332943916321,0.2,-0.11167952745454386,
925,0.7799178957939148,89,4728,4374528,17.85,0.004859976936131716,880,0.0003,0.012868245442708334,-0.0006423202893529378,0.01709420136406455,0.0021642519,0.283466100692749,0.2,-0.11216532117687165,
935,0.7788281440734863,90,4729,4423680,18.03,0.005172399803996086,890,0.0003,0.011553955078125,-0.0010721396649993646,0.01704306050329857,0.0033937122,0.2758709192276001,0.2,-0.11340410179303338,
945,0.7638906836509705,91,4730,4472832,16.7,0.01792292669415474,900,0.0003,0.013932291666666667,-0.0008800236277844912,0.018408919336798134,0.0015661037,0.27903348207473755,0.2,-0.11924664357599492,
955,0.7790390849113464,92,4730,4521984,18.09,0.007058638148009777,910,0.0003,0.011952718098958334,-0.0009090017026210262,0.019177391411843322,0.0067738704,0.2778160572052002,0.2,-0.10750082779365282,
965,0.7336093187332153,93,4732,4571136,16.97,0.005277346353977919,920,0.0003,0.012101236979166667,-0.0007386727689663531,0.01777295571931366,0.0028225146,0.27429336309432983,0.2,-0.1103482036308075,
976,0.723925769329071,94,4733,4620288,17.12,0.007369575090706348,930,0.0003,0.015458170572916667,-0.0010210619779475868,0.018131600897565173,0.0027778782,0.2840114235877991,0.2,-0.11417963126829515,
986,0.7794257402420044,95,4735,4669440,17.63,0.006230078637599945,940,0.0003,0.01527099609375,-0.0011031065541222537,0.01718469867858706,0.0042982385,0.2833101153373718,0.2,-0.11827770720313614,
996,0.7774921655654907,96,4736,4718592,18.63,0.004358608275651932,950,0.0003,0.022845458984375,-0.0009985209954569048,0.01437574358690957,0.0024148664,0.2853737473487854,0.2,-0.1356704019786169,
1006,0.7404452562332153,97,4737,4767744,18.39,0.010037962347269058,960,0.0003,0.037725830078125,-0.001764856430539415,0.01632428176671965,0.013094223,0.2660856246948242,0.2,-0.14439890721502405,
1016,0.7223437428474426,98,4739,4816896,17.1,0.006177421659231186,970,0.0003,0.025887044270833333,-0.0012536371694295667,0.01944289353171674,0.011639635,0.2658873200416565,0.2,-0.14337601566609617,
1026,0.7592851519584656,99,4740,4866048,18.02,0.009434254840016365,980,0.0003,0.015211995442708333,-0.0008003002954865224,0.01688332947511905,0.0018588743,0.28739047050476074,0.2,-0.13967249599130202,
1036,0.8128515481948853,100,4741,4915200,19.73,0.007761501707136631,990,0.0003,0.015873209635416666,-0.0010600486032368887,0.017542313608767776,0.0018709152,0.2750598192214966,0.2,-0.1378716490115039,
1046,0.7157187461853027,101,4743,4964352,16.38,0.00708360131829977,1000,0.0003,0.013993326822916667,-0.001184213485703367,0.017571852134521275,0.002020811,0.28654003143310547,0.2,-0.13128063976764678,
1058,0.7813594341278076,102,4734,5013504,17.37,0.008790135383605957,1010,0.0003,0.012733968098958333,-0.0008382367126008224,0.018000122076894817,0.0015531305,0.28066742420196533,0.2,-0.126050455980779,
