time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,shield_cutoff_timestep
498,0.7783055901527405,47,4631,2310144,37.95,0.0013557225465774536,460,0.0003,0.020418294270833335,-0.0010441131378684076,0.012047526029103512,0.002766517,0.4867910146713257,0.2,-0.1908602442825213,
508,0.8194444179534912,48,4637,2359296,40.51,0.0002994108945131302,470,0.0003,0.020782470703125,-0.0013508269109176279,0.012230568911278775,0.0024623151,0.4977049231529236,0.2,-0.18835599035179865,
518,0.7350000143051147,49,4642,2408448,36.17,0.004708577878773212,480,0.0003,0.01947021484375,-0.0012320431596587393,0.012135169411097498,0.0025554753,0.5124722123146057,0.2,-0.18418554537929593,
528,0.768944501876831,50,4647,2457600,37.9,0.005671408027410507,490,0.0003,0.020770263671875,-0.0011897686607577876,0.012976305988559034,0.0036941438,0.48214566707611084,0.2,-0.1935052604181692,
538,0.7743610143661499,51,4652,2506752,36.65,0.013160189613699913,500,0.0003,0.023036702473958334,-0.0012872556678000062,0.012150682507732805,0.002598018,0.4957149028778076,0.2,-0.19316647863791633,
548,0.7646943926811218,52,4657,2555904,39.93,0.00398052716627717,510,0.0003,0.01851806640625,-0.0011534245650636876,0.011977026802681697,0.0023826954,0.49353402853012085,0.2,-0.18292318563132237,
559,0.7212221622467041,53,4657,2605056,37.75,0.0006918124854564667,520,0.0003,0.021317545572916666,-0.001555012903493965,0.012689338874527797,0.0023205767,0.5001827478408813,0.2,-0.18896306885095934,
569,0.7389166355133057,54,4657,2654208,42.96,0.012162492610514164,530,0.0003,0.018780517578125,-0.0013506473367669968,0.01295828184253575,0.0031830429,0.4915142059326172,0.2,-0.18092262878393134,
580,0.7602778077125549,55,4657,2703360,37.38,0.005934876389801502,540,0.0003,0.019578043619791666,-0.0015647581044201313,0.012487857227824861,0.0021819428,0.4933048486709595,0.2,-0.1741986367618665,
590,0.7222222089767456,56,4657,2752512,38.38,0.010022075846791267,550,0.0003,0.018631998697916666,-0.001198064376573408,0.012790930164434637,0.0028275466,0.48789888620376587,0.2,-0.17445242135242248,
601,0.759138822555542,57,4657,2801664,42.26,0.002549957949668169,560,0.0003,0.021531168619791666,-0.001494359642007718,0.013751599406289946,0.0039494536,0.4749324321746826,0.2,-0.18342910225813588,
612,0.7329999804496765,58,4657,2850816,40.43,0.010488662868738174,570,0.0003,0.020989990234375,-0.0014497621930180079,0.013131565092286716,0.0023786093,0.4942847490310669,0.2,-0.18305767281757046,
622,0.723361074924469,59,4657,2899968,40.6,0.00492878258228302,580,0.0003,0.021376546223958334,-0.0012704411595526228,0.012120484209784383,0.0020899319,0.5128824710845947,0.2,-0.17536725083676477,
633,0.7467777132987976,60,4657,2949120,36.7,-0.0009316792711615562,590,0.0003,0.01978759765625,-0.0015361292463542972,0.013083936194258664,0.0026077994,0.4975372552871704,0.2,-0.16502639415751522,
643,0.7268611788749695,61,4660,2998272,36.0,0.010494758374989033,600,0.0003,0.0220458984375,-0.0019017525597519124,0.01310020714008715,0.0033345174,0.504467248916626,0.2,-0.16727593421237544,
656,0.7303611636161804,62,4644,3047424,38.41,0.00015043234452605247,610,0.0003,0.020711263020833332,-0.001763494022998202,0.013169429454622635,0.0022710653,0.49455153942108154,0.2,-0.15815925425849856,
666,0.7781944274902344,63,4647,3096576,41.79,-0.0032394230365753174,620,0.0003,0.017405192057291668,-0.001391836686464861,0.012035340331446301,0.001943708,0.5026699900627136,0.2,-0.14402394571807237,
676,0.7960832715034485,64,4650,3145728,38.44,0.0026764697395265102,630,0.0003,0.016839599609375,-0.0012830778693872465,0.01171309625642607,0.0016524553,0.5282323360443115,0.2,-0.14381399014188598,
686,0.7410556077957153,65,4653,3194880,39.16,0.0023190490901470184,640,0.0003,0.020243326822916668,-0.00183764171955166,0.013389889167350096,0.002323696,0.48497462272644043,0.2,-0.14745160698657855,
696,0.6875833868980408,66,4656,3244032,36.69,0.0034906743094325066,650,0.0003,0.020078531901041665,-0.00171899141890511,0.013504026136555087,0.0035633266,0.482723593711853,0.2,-0.15719429092326512,
706,0.7000554800033569,67,4660,3293184,35.42,0.000460177194327116,660,0.0003,0.019586181640625,-0.0015624702800778323,0.012755569989046004,0.0020475097,0.5111571550369263,0.2,-0.16123231877184782,
716,0.7812499403953552,68,4662,3342336,40.42,0.005851357243955135,670,0.0003,0.016542561848958335,-0.0011588207475142554,0.012421944562568872,0.0018582651,0.5110424757003784,0.2,-0.15960273672050487,
726,0.7398055195808411,69,4665,3391488,38.36,0.0061220829375088215,680,0.0003,0.021952311197916668,-0.0018834054047450384,0.01258310017316641,0.002875026,0.506298840045929,0.2,-0.1617285885149613,
736,0.7271666526794434,70,4668,3440640,39.61,0.00268779369071126,690,0.0003,0.018548583984375,-0.0015686156647764923,0.011773736998535848,0.0023758728,0.5091885328292847,0.2,-0.151130167033989,
747,0.7627778053283691,71,4670,3489792,40.86,0.004719449207186699,700,0.0003,0.02105712890625,-0.0017567854327353416,0.012889271324578051,0.0031042604,0.4968497157096863,0.2,-0.1524037443373042,
757,0.7925000190734863,72,4672,3538944,40.38,0.011676856316626072,710,0.0003,0.020487467447916668,-0.0017068626405186175,0.012605327799731943,0.0033274088,0.504425048828125,0.2,-0.15928324027918278,
767,0.6717777848243713,73,4675,3588096,39.7,0.005826080217957497,720,0.0003,0.024540201822916666,-0.0018534326991963704,0.013807483390216172,0.013251804,0.4813476800918579,0.2,-0.18915087746378656,
777,0.7476388812065125,74,4678,3637248,39.64,0.005195208825170994,730,0.0003,0.028828938802083332,-0.001615460823753286,0.01396735310239213,0.00293439,0.4897516965866089,0.2,-0.2577130128086234,
787,0.705833375453949,75,4682,3686400,41.38,0.0019920589402318,740,0.0003,0.029311116536458334,-0.0022004714877160345,0.012285393737935616,0.0036793605,0.5169514417648315,0.2,-0.2419485542845602,
797,0.7148889303207397,76,4685,3735552,40.57,0.0018374882638454437,750,0.0003,0.02904052734375,-0.0025217633434901168,0.012730808680741272,0.0036196003,0.5013108253479004,0.2,-0.22474557185390343,
807,0.7364999651908875,77,4688,3784704,39.4,0.006860666908323765,760,0.0003,0.025732421875,-0.0018107422087875118,0.012923493335498885,0.0045379247,0.5146772265434265,0.2,-0.22346182405017317,
817,0.7653610706329346,78,4691,3833856,40.51,0.003384583629667759,770,0.0003,0.024336751302083334,-0.0017899245934434778,0.012897894830772808,0.0047546085,0.49332863092422485,0.2,-0.22651221603931238,
827,0.7405278086662292,79,4693,3883008,37.88,0.00934695079922676,780,0.0003,0.028704833984375,-0.002272167867643778,0.01290539653346059,0.002374266,0.48885560035705566,0.2,-0.2330592054563264,
837,0.7769721746444702,80,4695,3932160,40.17,0.005941582378000021,790,0.0003,0.027390543619791666,-0.0022238143309853816,0.012738533910548237,0.0031166666,0.5005791187286377,0.2,-0.21965856926981359,
847,0.7614721655845642,81,4697,3981312,41.24,0.004935447126626968,800,0.0003,0.025229899088541667,-0.0020123729680562976,0.012918352017489572,0.002071305,0.509404182434082,0.2,-0.2148676515246431,
860,0.7715277671813965,82,4682,4030464,41.18,0.010754876770079136,810,0.0003,0.025144449869791665,-0.001865802825826298,0.013511780294841931,0.0049541644,0.4949381947517395,0.2,-0.21536507504060864,
870,0.6899722218513489,83,4684,4079616,38.73,0.0003770068287849426,820,0.0003,0.023974609375,-0.001790797396946194,0.012251777285079394,0.0040474157,0.5197784304618835,0.2,-0.21622076934824389,
880,0.7225277423858643,84,4686,4128768,33.96,0.005194689147174358,830,0.0003,0.025632731119791665,-0.0019377176387327685,0.012055065184783113,0.0037975374,0.5196057558059692,0.2,-0.21891142980506023,
891,0.7507221698760986,85,4688,4177920,39.56,0.006194790825247765,840,0.0003,0.027048746744791668,-0.002168046252033188,0.013049867466421953,0.003881544,0.515788197517395,0.2,-0.22259228668020417,
901,0.757027804851532,86,4688,4227072,39.54,0.006067625246942043,850,0.0003,0.022611490885416665,-0.00163229162414306,0.013406949047688006,0.0020640478,0.4827136993408203,0.2,-0.22115843081846834,
911,0.7761389017105103,87,4689,4276224,38.97,0.0043447427451610565,860,0.0003,0.023577880859375,-0.001988784068453242,0.012249915240439198,0.00272872,0.5046812891960144,0.2,-0.2064347450621426,
922,0.7310554385185242,88,4690,4325376,37.81,-0.0014270003885030746,870,0.0003,0.02469482421875,-0.0021733120411530156,0.012631506434991025,0.0036574577,0.5018306970596313,0.2,-0.1979502946526433,
932,0.7676666378974915,89,4690,4374528,38.93,0.006878118962049484,880,0.0003,0.019014485677083335,-0.0013649557121728625,0.012073004215441567,0.002791265,0.49799472093582153,0.2,-0.19149288188200445,
942,0.7779443860054016,90,4691,4423680,42.08,0.007600626442581415,890,0.0003,0.019932047526041666,-0.001601380870548989,0.013568514581129421,0.0020322767,0.49281007051467896,0.2,-0.1999394183900828,
953,0.6995277404785156,91,4693,4472832,39.17,0.0017402698285877705,900,0.0003,0.022208658854166667,-0.002118702363198584,0.012115118617900104,0.0024176189,0.5029816627502441,0.2,-0.19938922689761968,
963,0.7804166674613953,92,4693,4521984,37.72,0.008108308538794518,910,0.0003,0.017869059244791666,-0.0014633188119963355,0.012164139978752549,0.002140139,0.4965285658836365,0.2,-0.18786347487475724,
973,0.7109998464584351,93,4693,4571136,38.87,0.00260893814265728,920,0.0003,0.019236246744791668,-0.001857911168190185,0.012562057279622726,0.0024727958,0.49678564071655273,0.2,-0.17643989053710055,
984,0.761138916015625,94,4694,4620288,41.18,0.00699655432254076,930,0.0003,0.019905598958333333,-0.0019091678851206476,0.013100489879191931,0.0020520536,0.4963073134422302,0.2,-0.18012649176331857,
994,0.7425556182861328,95,4694,4669440,37.81,0.0017372826114296913,940,0.0003,0.021697998046875,-0.0018694993286165603,0.012744941359414952,0.002340597,0.5102044343948364,0.2,-0.18662183173776914,
1004,0.7871665954589844,96,4695,4718592,42.31,0.00020053517073392868,950,0.0003,0.023264567057291668,-0.001791472034256003,0.013201240664056969,0.0023458486,0.4957871437072754,0.2,-0.19581896045710892,
1015,0.7535000443458557,97,4695,4767744,37.73,0.0019450783729553223,960,0.0003,0.022556559244791666,-0.0021744084912522035,0.013259761534815577,0.0027100414,0.5040605068206787,0.2,-0.18795651417070378,
1025,0.7363055348396301,98,4696,4816896,40.9,0.003508215304464102,970,0.0003,0.021527099609375,-0.002089509555753466,0.01293503999040695,0.0025749463,0.49369144439697266,0.2,-0.19328502900898456,
1036,0.7753056287765503,99,4696,4866048,39.91,-0.004603269509971142,980,0.0003,0.018839518229166668,-0.0014370101305757998,0.0123034105085632,0.0019184804,0.5087194442749023,0.2,-0.19423532094806434,
1046,0.741777777671814,100,4696,4915200,38.5,0.003380424343049526,990,0.0003,0.01807861328125,-0.001632979959443522,0.012254738244034039,0.0024958816,0.5010582208633423,0.2,-0.18017031527124344,
1056,0.7079443335533142,101,4697,4964352,40.1,0.007726696319878101,1000,0.0003,0.023002115885416667,-0.0023802637646440417,0.012391888181931184,0.002492774,0.5045099258422852,0.2,-0.18570679014082997,
1069,0.7596666812896729,102,4686,5013504,38.15,0.0014096740633249283,1010,0.0003,0.01839599609375,-0.0016892124027435783,0.012436793289331642,0.0017641867,0.505051851272583,0.2,-0.1842864188676079,
