time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
3931,1376256,0.7555000185966492,28,42.98,350,270,-0.001978924480196535,0.2,0.0050190752,0.0003,-0.7227473811246454,0.011724171926713704,0.000189218670129776,0.5111583471298218,0.04931437174479167,,,
3930,1425408,0.7492777109146118,29,41.87,362,280,-0.0014813407719884708,0.2,0.0044599255,0.0003,-0.7149707013120253,0.01069279947623727,0.00701953424140811,0.5237258672714233,0.047003173828125,,,
3929,1474560,0.7417222857475281,30,41.28,375,290,-0.002151302614159552,0.2,0.004706387,0.0003,-0.6967162428423762,0.01063582977585611,0.007040590513497591,0.5254921317100525,0.05130208333333333,,,
3928,1523712,0.7830833196640015,31,39.85,387,300,-0.002223645009811056,0.2,0.004672188,0.0003,-0.6803329504095018,0.01100314434588654,0.004694173578172922,0.4964325428009033,0.04930826822916667,,,
3928,1572864,0.7934722900390625,32,43.06,400,310,-0.001929829224961092,0.2,0.004495776,0.0003,-0.662904805286477,0.01093548323115101,-0.0050166454166173935,0.5157729983329773,0.050858561197916666,,,
3927,1622016,0.8142778873443604,33,42.85,412,320,-0.001241560772965992,0.2,0.004548008,0.0003,-0.6375205806146066,0.010008965207574268,0.0012796544469892979,0.5230584740638733,0.04110107421875,,,
3927,1671168,0.768833339214325,34,41.8,425,330,-0.001952655838916447,0.2,0.0049771103,0.0003,-0.6411958004968862,0.010757332788974358,0.009583566337823868,0.5218847990036011,0.048655192057291664,,,
3926,1720320,0.7746666669845581,35,39.69,438,340,-0.0016830762673028705,0.2,0.0041217045,0.0003,-0.6292381943203509,0.0102736237521943,-0.0026182271540164948,0.5272111296653748,0.045210774739583334,,,
3925,1769472,0.7243055105209351,36,37.69,450,350,-0.0013790397484626737,0.2,0.0043966346,0.0003,-0.6004542339903612,0.010914946385310032,0.002491758670657873,0.5126314163208008,0.03900146484375,,,
3924,1818624,0.7537499070167542,37,40.38,463,360,-0.001978598354071437,0.2,0.004116232,0.0003,-0.5987557601183653,0.010860215145172939,0.002097601303830743,0.5026804208755493,0.047495524088541664,,,
3924,1867776,0.7726666331291199,38,40.19,475,370,-0.0018441163203533506,0.2,0.0040645073,0.0003,-0.5863372531719506,0.01072816133237211,0.001494529191404581,0.5002835988998413,0.04231974283854167,,,
