time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
5068,198.62,2015232,41,397,0.0,-0.006694146863507436,4.541586685169463e-07,0.2,0.11469930013020833,0.011704166,-2.1820144653320312,400,0.0003,-1.4799851218859355,-0.02174278348684311
5066,197.23,2064384,42,407,0.0,-0.006172676542276653,3.477258356698876e-07,0.2,0.11721394856770834,0.012257147,-2.131439685821533,410,0.0003,-1.4907045845563214,-0.005777708720415831
5065,198.0,2113536,43,417,0.0,-0.008772192893835988,3.0606786534474275e-07,0.2,0.11985270182291667,0.014216072,-2.7721664905548096,420,0.0003,-1.4716228626668453,-0.03138059005141258
5063,200.0,2162688,44,427,0.0,-0.009034976163578297,3.8994075370150463e-07,0.2,0.13496500651041668,0.015647437,-2.2551205158233643,430,0.0003,-1.4814613977447153,-0.016428466886281967
5063,196.45,2211840,45,436,0.0,-0.008336709249791359,3.282767279418527e-07,0.2,0.13160400390625,0.014820211,-3.8689942359924316,440,0.0003,-1.4921960111707449,-0.020480910316109657
5062,197.82,2260992,46,446,0.0,-0.009840163551537747,2.590454617997414e-07,0.2,0.132843017578125,0.014511392,-2.5245935916900635,450,0.0003,-1.4961221059163412,-0.017974933609366417
5061,197.97,2310144,47,456,0.0,-0.0090475206327028,4.1874153312212077e-07,0.2,0.14078369140625,0.014428179,-1.3823974132537842,460,0.0003,-1.4886355688795447,-0.02599119208753109
5061,197.49,2359296,48,466,0.0,-0.009398974497329012,2.736078668186259e-07,0.2,0.12706298828125,0.019192418,-4.932668209075928,470,0.0003,-1.475732580386102,-0.014417102560400963
5060,199.04,2408448,49,475,0.0,-0.00825105343580314,3.077033074524079e-07,0.2,0.112628173828125,0.013415749,-3.873520851135254,480,0.0003,-1.473512481401364,-0.016509639099240303
5059,196.39,2457600,50,485,0.0,-0.009238479858928865,4.57795823838314e-07,0.2,0.11670735677083334,0.014835383,-1.8354072570800781,490,0.0003,-1.469252197816968,-0.004187698010355234
