time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,shield/stage,shield/delta,shield/transition_timestep
2752512,25.64,639,4306,56,0.8894643187522888,0.5295457243919373,0.0003,0.005501977633684874,0.2,0.0029566074,0.0028935491496667964,0.019830322265625,-0.18205911067780106,550,-0.0009596248489591138,,,
2801664,25.89,650,4306,57,0.8976072669029236,0.455111026763916,0.0003,-0.002622063271701336,0.2,0.01573917,0.003792755489484989,0.030332438151041665,-0.20787240664940326,560,-0.0022637147251468076,,,
2850816,26.72,661,4307,58,0.8947500586509705,0.5854215025901794,0.0003,-0.003322469536215067,0.2,0.005611489,0.0023307147264858942,0.04218343098958333,-0.24878309950387725,570,-0.003821725457297968,,,
2899968,25.03,673,4307,59,0.8920356631278992,0.4749079942703247,0.0003,-0.0016591508174315095,0.2,0.0034978644,0.003955391657351963,0.035308837890625,-0.23478221101686358,580,-0.0023591789715434667,,,
2949120,25.12,685,4304,60,0.9102857112884521,0.5090721249580383,0.0003,0.008105846121907234,0.2,0.0039277826,0.0035470203527438572,0.028114827473958333,-0.22462405319480847,590,-0.0024129469477884415,,,
2998272,24.51,696,4301,61,0.902535617351532,0.5673704147338867,0.0003,0.0013610520400106907,0.2,0.0023401026,0.0027417943925077755,0.025921630859375,-0.21087341144836197,600,-0.00227211853331634,,,
3047424,26.47,710,4286,62,0.885607123374939,0.5165119171142578,0.0003,0.00022469379473477602,0.2,0.0022909716,0.0033234000142935353,0.02589111328125,-0.2066571052186191,610,-0.0018772357447839265,2,0.4,3000000
3096576,25.59,722,4286,63,0.9086071252822876,0.4121395945549011,0.0003,-0.0031154369935393333,0.2,0.00675006,0.003774415581453165,0.042742919921875,-0.21395914198365062,620,-0.004728579731878805,,,
3145728,24.57,733,4286,64,0.8933928608894348,0.46522951126098633,0.0003,-0.001672371057793498,0.2,0.0028982286,0.003869932308225543,0.03195597330729167,-0.19859142699278892,630,-0.0029592113518143986,,,
3194880,24.02,745,4286,65,0.89464271068573,0.49615252017974854,0.0003,-0.007241111248731613,0.2,0.004236776,0.003550589853633331,0.02415771484375,-0.18621539266314358,640,-0.0024567393281283026,,,
3244032,24.29,757,4284,66,0.8657499551773071,0.524727463722229,0.0003,-0.0017336590681225061,0.2,0.0019950296,0.0033063910177588696,0.03143310546875,-0.1757042824368303,650,-0.002604229044118256,,,
3293184,23.53,768,4282,67,0.8762500286102295,0.4865923523902893,0.0003,-0.006571377161890268,0.2,0.0018683685,0.0037409678619345263,0.026662190755208332,-0.16367196415085344,660,-0.0021805934056222517,,,
3342336,22.73,780,4280,68,0.8796429634094238,0.50483638048172,0.0003,-0.000203033909201622,0.2,0.002088282,0.003293899532521512,0.023783365885416668,-0.15006722441952056,670,-0.001667001050524656,,,
3391488,22.78,792,4278,69,0.8895714282989502,0.5073250532150269,0.0003,0.0031575788743793964,0.2,0.00566476,0.0033402066491968678,0.024259440104166665,-0.12893571715103463,680,-0.001872767237152099,,,
3440640,23.75,804,4276,70,0.8662499785423279,0.48051387071609497,0.0003,0.006061459891498089,0.2,0.0017316606,0.00377638135420663,0.016483561197916666,-0.12052802559143554,690,-0.0010534486077328135,,,
3489792,24.07,816,4275,71,0.8851072788238525,0.4936252236366272,0.0003,-0.0023618729319423437,0.2,0.0013998626,0.0035335860491310695,0.01591796875,-0.11811863201049468,700,-0.0010723855901233037,,,
3538944,23.62,828,4273,72,0.8868571519851685,0.5006756782531738,0.0003,0.008122719824314117,0.2,0.00093600556,0.0034781463643109114,0.012050374348958334,-0.11764257405496513,710,-0.00039836868666801213,,,
3588096,24.33,839,4271,73,0.8939642310142517,0.4460573196411133,0.0003,-0.0011631445959210396,0.2,0.0017477901,0.004315727557574671,0.01512451171875,-0.1202394370532905,720,-0.0010087050114028291,,,
3637248,22.98,851,4271,74,0.8882856965065002,0.44664162397384644,0.0003,-0.0031891819089651108,0.2,0.001079358,0.004357617023985464,0.014680989583333333,-0.12264849074029674,730,-0.001146342067901666,,,
3686400,23.92,862,4271,75,0.9046429395675659,0.5018569231033325,0.0003,0.005513020325452089,0.2,0.0018472025,0.0034188778710813493,0.016717529296875,-0.11626984849184131,740,-0.0009913297328542588,,,
3735552,23.65,874,4272,76,0.8959285616874695,0.4611864686012268,0.0003,0.00018699507927522063,0.2,0.0034726767,0.004024199538859344,0.011197916666666667,-0.11905867824486147,750,-0.0010442978711732091,,,
3784704,23.76,885,4272,77,0.915142834186554,0.46554023027420044,0.0003,0.002381900791078806,0.2,0.0040335953,0.0038417935921340055,0.013798014322916666,-0.11205535704890887,760,-0.0006789332615274664,,,
3833856,24.56,897,4272,78,0.9031786322593689,0.5020358562469482,0.0003,0.0007343029137700796,0.2,0.0010254158,0.003423830389632106,0.011964925130208333,-0.10721962691362326,770,-0.0006109843850936158,,,
3883008,24.09,908,4272,79,0.8861070275306702,0.5211177468299866,0.0003,-0.011126765049993992,0.2,0.0021017592,0.0030348529418612693,0.008782958984375,-0.10474594057692836,780,-0.0005221003527973759,,,
3932160,23.17,920,4273,80,0.8874642848968506,0.517758846282959,0.0003,0.0019543911330401897,0.2,0.0018818417,0.0031113330131120167,0.012646484375,-0.10158111378162478,790,-0.0005937641210645476,,,
3981312,23.44,931,4273,81,0.8778572082519531,0.4754107594490051,0.0003,0.0029964223504066467,0.2,0.0026167694,0.0037695297394141863,0.015315755208333334,-0.11340246605686843,800,-0.0007947363587087845,,,
4030464,23.92,945,4262,82,0.8667857646942139,0.44461262226104736,0.0003,0.0015449454076588154,0.2,0.0020214834,0.004173254834980374,0.017864990234375,-0.12541631768690423,810,-0.0006983690002925868,3,0.2,4000008
4079616,24.09,957,4260,83,0.8571429252624512,0.2541528344154358,0.0003,-0.02517489343881607,0.2,0.0129862055,0.0065541192536935945,0.061248779296875,-0.17800575885145614,820,-0.01141365450075682,,,
4128768,25.84,969,4260,84,0.8798214793205261,0.3675405979156494,0.0003,0.16623027622699738,0.2,0.04158071,0.007709741261957485,0.06375732421875,-0.251692303433083,830,-0.006567593682969649,,,
4177920,24.35,980,4258,85,0.8583570718765259,0.44922178983688354,0.0003,-0.005300306249409914,0.2,0.0028018847,0.007488401223235996,0.02855224609375,-0.25020454421949884,840,-0.002392965994355715,,,
4227072,22.82,992,4259,86,0.9090713262557983,0.4344778060913086,0.0003,-0.0036461264826357365,0.2,0.0025867,0.00909235417821037,0.025606282552083335,-0.23313479722322275,850,-0.0017695050565331863,,,
4276224,22.75,1004,4257,87,0.8708928823471069,0.49798136949539185,0.0003,-0.002026652917265892,0.2,0.004231994,0.007188022053742316,0.028682454427083334,-0.2204611891026919,860,-0.0032025519841530087,,,
4325376,23.45,1015,4257,88,0.8400356769561768,0.42790091037750244,0.0003,-0.0035565709695219994,0.2,0.0053635663,0.0079686920621801,0.028033447265625,-0.2189438387285918,870,-0.0022053778657815807,,,
4374528,23.57,1027,4258,89,0.9064999222755432,0.40820515155792236,0.0003,-0.00482915947213769,0.2,0.0024169611,0.006703391195818161,0.024873860677083335,-0.1852616702284043,880,-0.0024772905553012,,,
4423680,23.33,1038,4258,90,0.8972856998443604,0.4142712950706482,0.0003,0.006452171131968498,0.2,0.00352819,0.006704515670026012,0.022639973958333334,-0.15693516080112507,890,-0.0023735596341794007,,,
4472832,23.09,1050,4258,91,0.8685714602470398,0.46351540088653564,0.0003,-0.0035133182536810637,0.2,0.0020670346,0.0051840280682275384,0.0183349609375,-0.1454068457785373,900,-0.0013581613966077081,,,
4521984,22.24,1061,4258,92,0.8824999928474426,0.4065018892288208,0.0003,0.004332853946834803,0.2,0.0013007559,0.00493977895033216,0.013645426432291666,-0.13318565142884228,910,-0.0007080058748821709,,,
4571136,24.27,1073,4258,93,0.8936784863471985,0.42708438634872437,0.0003,-0.007522411644458771,0.2,0.002380604,0.004872196004119663,0.016493733723958334,-0.12632568369153888,920,-0.0005912840058347987,,,
4620288,23.4,1084,4258,94,0.867357075214386,0.40739959478378296,0.0003,0.002364256652072072,0.2,0.0036019457,0.005329403131569658,0.017496744791666668,-0.13648008996775995,930,-0.0008378054036559964,,,
4669440,23.0,1096,4258,95,0.8985714912414551,0.39793306589126587,0.0003,-0.007372747641056776,0.2,0.002140942,0.005568104758155338,0.017515055338541665,-0.12452452943349877,940,-0.0008952816482936517,,,
4718592,23.48,1108,4257,96,0.8863571286201477,0.40307384729385376,0.0003,0.0020392274018377066,0.2,0.0021859787,0.005549683322715282,0.01474609375,-0.12664645257561158,950,-0.0008968946230500781,,,
4767744,21.8,1120,4256,97,0.8730356693267822,0.3988721966743469,0.0003,-0.0007093716412782669,0.2,0.0014546374,0.005068847350533663,0.016977945963541668,-0.14071792511967943,960,-0.001159191827052079,,,
4816896,23.28,1131,4255,98,0.8784999251365662,0.3586390018463135,0.0003,0.0027661938220262527,0.2,0.0015525782,0.006463519001105548,0.013181559244791667,-0.13585096997364113,970,-0.0007069223787160203,,,
4866048,22.71,1143,4254,99,0.8892857432365417,0.36568039655685425,0.0003,-0.00553449522703886,0.2,0.003069808,0.0063826499875479685,0.017386881510416667,-0.13366170982286954,980,-0.0011772741793417178,,,
4915200,22.5,1155,4254,100,0.9099643230438232,0.4056659936904907,0.0003,-0.010798982344567776,0.2,0.0017708753,0.005462297726868807,0.015110270182291666,-0.13429573759591829,990,-0.0008513432430845569,,,
4964352,21.89,1166,4255,101,0.9023571014404297,0.44536709785461426,0.0003,-0.0029326414223760366,0.2,0.0021273557,0.004360687302626805,0.018131510416666666,-0.13851639382774011,1000,-0.0011133285230850258,,,
5013504,20.5,1180,4246,102,0.8875715136528015,0.3780496120452881,0.0003,0.004013432655483484,0.2,0.0020970877,0.005932743530865992,0.021299235026041665,-0.14147404227017735,1010,-0.0015375747066476227,,,
