time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
4262,4079616,0.9008928537368774,83,27.75,957,820,-0.0008818893355207062,0.2,0.0018728478,0.0003,-0.2173878639548396,0.0026762580636689867,-0.001927739940583706,0.5703849792480469,0.013311767578125,,,
4262,4128768,0.8770357370376587,84,26.3,968,830,-0.0009516625528097696,0.2,0.0016972373,0.0003,-0.2206550698649759,0.002776634086270254,-0.000791428261436522,0.5405924916267395,0.013680013020833333,,,
4263,4177920,0.8981786966323853,85,28.51,979,840,-0.0015651874243606775,0.2,0.0035660032,0.0003,-0.21585496972935894,0.0025899129716587294,-0.013198602944612503,0.5566120147705078,0.023518880208333332,,,
4263,4227072,0.8814285397529602,86,27.77,991,850,-0.0012389289029063851,0.2,0.0023073808,0.0003,-0.21610773540257167,0.0024001159154674193,-0.0038153415080159903,0.5808274745941162,0.017112223307291667,,,
4264,4276224,0.8932856917381287,87,27.1,1002,860,-0.0005123508358337858,0.2,0.0016244784,0.0003,-0.22081117224879562,0.002767074747498555,0.0032917833887040615,0.5512887239456177,0.012886555989583333,,,
4264,4325376,0.9023571014404297,88,27.34,1014,870,-0.0008423542093623837,0.2,0.0020121268,0.0003,-0.2175723700085655,0.0028783458576072006,-0.010189201682806015,0.5616199970245361,0.018105061848958333,,,
4264,4374528,0.9005356431007385,89,27.85,1025,880,-0.001110209554129445,0.2,0.0018650788,0.0003,-0.20716925438027828,0.002706643705763175,0.001037414651364088,0.5563356876373291,0.014229329427083333,,,
4264,4423680,0.9010357856750488,90,27.71,1037,890,-0.0011220618773222669,0.2,0.0023587015,0.0003,-0.20042311019885042,0.003648526983609675,0.0012485884362831712,0.4923115372657776,0.01602783203125,,,
4264,4472832,0.8861427903175354,91,26.47,1048,900,-0.0010551619735148657,0.2,0.013257147,0.0003,-0.19724373668432235,0.003205492345538611,0.002198128029704094,0.5345309972763062,0.016676839192708334,,,
4264,4521984,0.9006427526473999,92,27.82,1060,910,-0.0012438373877254585,0.2,0.0023151871,0.0003,-0.21751607544720172,0.0030586919937680554,-0.0005998883279971778,0.5457593202590942,0.019846598307291668,,,
4264,4571136,0.8783571720123291,93,28.5,1071,920,-0.0028649883443601235,0.2,0.0061297477,0.0003,-0.2671893852219606,0.0032265170456109143,-0.002793505322188139,0.5164015889167786,0.039813232421875,,,
4264,4620288,0.8823928833007812,94,27.61,1083,930,-0.004849861430132781,0.2,0.004565446,0.0003,-0.2874426727027943,0.002855348358328532,0.0012721882667392492,0.5225645303726196,0.04706013997395833,,,
4264,4669440,0.8827142119407654,95,27.3,1094,940,-0.0033852538029047236,0.2,0.059644025,0.0003,-0.2550557209411636,0.003357870145070289,-0.009148471057415009,0.5044223070144653,0.035552978515625,,,
4264,4718592,0.8942141532897949,96,26.84,1106,950,-0.0019106869389361237,0.2,0.017141312,0.0003,-0.22780884489572298,0.00276917350080718,-0.008228377439081669,0.579628586769104,0.02222900390625,,,
4265,4767744,0.8862857222557068,97,29.06,1117,960,-0.0019406312491507076,0.2,0.00500369,0.0003,-0.2609089950798079,0.0034283149005204907,-0.003141707042232156,0.5106310844421387,0.028501383463541665,,,
4265,4816896,0.8799999952316284,98,28.04,1129,970,-0.005327740610118781,0.2,0.0048883916,0.0003,-0.27514045204346377,0.0025574387562907457,3.6933342926204205e-05,0.5478562116622925,0.045298258463541664,,,
4265,4866048,0.8766070604324341,99,26.21,1140,980,-0.004426423200948193,0.2,0.050336927,0.0003,-0.2284861462811629,0.0026667315382534677,2.3755535949021578e-05,0.5637938976287842,0.036728922526041666,,,
4265,4915200,0.8835000395774841,100,27.08,1152,990,-0.001373530955000509,0.2,0.0076468107,0.0003,-0.22142229721260567,0.0028387078952315883,0.008319184184074402,0.5566919445991516,0.018794759114583334,,,
4264,4964352,0.8984285593032837,101,28.44,1164,1000,-0.0011726855922461255,0.2,0.0022806635,0.0003,-0.22311235030647367,0.0026702022680789622,-0.003583576064556837,0.565948486328125,0.019258626302083335,,,
4254,5013504,0.8871785998344421,102,28.83,1178,1010,-0.0016049053777048054,0.2,0.0032507982,0.0003,-0.2179625971786057,0.0030491998990328285,-0.0011998476693406701,0.5208059549331665,0.023701985677083332,,,
