time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
4860,1869.2,2949120,60,606,0.0,-0.009864631919420693,4.928166812412371e-08,0.2,0.17273356119791666,0.021848693,-1.1217074394226074,590,0.0003,-1.368729824759066,-0.01828472688794136
4859,1917.81,2998272,61,616,0.0,-0.01177770855780788,4.2065313594445244e-08,0.2,0.19326375325520834,0.031093964,-0.5560281276702881,600,0.0003,-1.344547677412629,0.026619713753461838
4859,1928.46,3047424,62,627,0.0,-0.008230640532565303,3.8020270035077354e-08,0.2,0.15566813151041667,0.024534658,-0.6025824546813965,610,0.0003,-1.3623077925915519,0.00840805098414421
4860,1873.25,3096576,63,637,0.0,-0.00866767932784569,1.4280924939940227e-08,0.2,0.20137125651041668,0.026318869,-0.04230844974517822,620,0.0003,-1.4216831023494403,0.0005621688324026763
4860,1734.35,3145728,64,647,0.0,-0.007992329613747037,1.2671029376206308e-08,0.2,0.12639567057291667,0.015100849,-0.8811389207839966,630,0.0003,-1.4452348620941242,-0.0022216865327209234
4861,1741.27,3194880,65,657,0.0,-0.008299853953091466,7.808995219210635e-09,0.2,0.15061848958333332,0.018064845,-1.2186768054962158,640,0.0003,-1.4640580393373965,0.013961797580122948
4862,1645.11,3244032,66,667,0.0,-0.009986403419861744,4.538878749990131e-09,0.2,0.14726359049479168,0.015859315,-3.0120153427124023,650,0.0003,-1.4716917681818207,-0.02067127265036106
4863,1757.26,3293184,67,677,0.0,-0.008607421630767931,3.853793141073494e-09,0.2,0.17831624348958333,0.07382917,-2.866358518600464,660,0.0003,-1.4366963975131513,0.0752231553196907
4864,1824.06,3342336,68,687,0.0,-0.007579103917851171,1.5556457544710355e-08,0.2,0.1305908203125,0.016604206,-1.9231367111206055,670,0.0003,-1.4654265836502114,-0.028115110471844673
4865,1830.51,3391488,69,697,0.0,-0.010181176194843525,3.545105503715192e-09,0.2,0.15334065755208334,0.026386043,-2.014359474182129,680,0.0003,-1.439741994192203,-0.00043010158697143197
4866,1862.47,3440640,70,706,0.0,-0.010034094503589585,4.741142487288408e-09,0.2,0.12301839192708333,0.016905582,-1.5444471836090088,690,0.0003,-1.4309066121776899,0.013188362121582031
4868,1878.72,3489792,71,716,0.0,-0.01202828325555553,2.459109423339975e-09,0.2,0.1594482421875,0.026663909,-1.5396690368652344,700,0.0003,-1.4507942324504257,-0.02325443923473358
4870,1882.55,3538944,72,726,0.0,-0.010799246328194083,1.4912669193804275e-09,0.2,0.18160807291666667,0.030385545,-0.320703387260437,710,0.0003,-1.4510084060331185,-0.01456477865576744
4874,1873.66,3588096,73,736,0.0,-0.012538735721682315,6.380508423858194e-08,0.2,0.21302083333333333,0.04176232,-1.2185142040252686,720,0.0003,-1.4545123257363837,-0.0017371344147250056
4877,1870.4,3637248,74,745,0.0,-0.009446628612962134,8.598293807796033e-09,0.2,0.10870157877604167,0.01490197,-0.4304567575454712,730,0.0003,-1.417126970179379,-0.01986628770828247
4880,1885.78,3686400,75,755,0.0,-0.006948571194910377,6.2957941069560756e-09,0.2,0.14683024088541666,0.018277796,-0.7230550050735474,740,0.0003,-1.3486423421030242,-0.016845395788550377
4884,1609.8,3735552,76,764,0.0,-0.012405624387732435,7.524833800773208e-09,0.2,0.10776774088541667,0.021588316,0.5948446989059448,750,0.0003,-1.408178068573276,0.08473847806453705
4887,1449.2,3784704,77,774,0.0,-0.009058154502023777,8.577044781800555e-09,0.2,0.1228271484375,0.01642461,-2.45523738861084,760,0.0003,-1.4876214825858673,-0.033906154334545135
4889,1436.81,3833856,78,784,0.0,-0.009982972401485313,1.319879004382597e-09,0.2,0.1287353515625,0.01571804,-5.979755401611328,770,0.0003,-1.5263960813482602,-0.02236909233033657
4892,1543.44,3883008,79,793,0.0,-0.015124740474554225,4.5121852784160095e-09,0.2,0.182855224609375,0.030706977,-3.4104480743408203,780,0.0003,-1.4869311828787128,-0.03107304871082306
4895,1703.66,3932160,80,803,0.0,-0.011556292231640933,2.1709072981201575e-09,0.2,0.12090861002604167,0.018107748,-1.0897338390350342,790,0.0003,-1.4963348409160973,0.01193528063595295
4894,1757.9,3981312,81,813,0.0,-0.015512563021305444,7.2711562705616954e-09,0.2,0.269580078125,0.05309221,-1.8581249713897705,800,0.0003,-1.5008754286294181,-0.05018102750182152
4894,1712.91,4030464,82,823,0.0,-0.015352606674180909,1.7326186241804763e-09,0.2,0.21984049479166667,0.028514551,-1.0552470684051514,810,0.0003,-1.515002145804465,-0.013436875306069851
4894,1757.33,4079616,83,833,0.0,-0.017554759645766655,3.6505042272386736e-09,0.2,0.233929443359375,0.054344315,-2.3300697803497314,820,0.0003,-1.544578529211382,-0.021921969950199127
4893,1368.25,4128768,84,843,0.0,-0.01431937830869477,6.060350510157472e-09,0.2,0.187548828125,0.03461668,-0.5844066143035889,830,0.0003,-1.5199478939796487,-0.038322754204273224
4894,842.99,4177920,85,853,0.0,-0.013776467676143512,2.041132962655171e-09,0.2,0.16593424479166666,0.025988324,0.49826204776763916,840,0.0003,-1.4949112048993507,-0.008954433724284172
4893,977.07,4227072,86,863,0.0,-0.010879978113492447,6.776327611313091e-09,0.2,0.17119140625,0.021304766,0.4689817428588867,850,0.0003,-1.4618020897731185,-0.01018971111625433
4894,1233.44,4276224,87,873,0.0,-0.007920088323711145,9.177407098288053e-09,0.2,0.15572509765625,0.026230475,0.8335264325141907,860,0.0003,-1.4305879168212414,0.004732334986329079
4896,1593.63,4325376,88,883,0.0,-0.007830387015625698,1.0129325865922537e-08,0.2,0.18989054361979166,0.01901292,0.8925424814224243,870,0.0003,-1.4115995837996402,-0.025946250185370445
4897,1797.3,4374528,89,893,0.0,-0.02978840147613179,2.5478534079930615e-08,0.2,0.162384033203125,0.015927995,-2.112092971801758,880,0.0003,-1.4717664126927654,-0.01812903955578804
4895,1417.19,4423680,90,903,0.0,-0.012988243276777212,1.0811189446420612e-08,0.2,0.10399373372395833,0.016323494,-0.15029609203338623,890,0.0003,-1.4658119432628154,-0.033060990273952484
4892,795.22,4472832,91,914,0.0,-0.01022069946772414,9.769452618501519e-09,0.2,0.1089599609375,0.014759858,-0.8550721406936646,900,0.0003,-1.3907727375005683,-0.0022192569449543953
4890,935.93,4521984,92,924,0.0,-0.01172198433905578,6.189479122172772e-09,0.2,0.13539835611979167,0.08882111,-1.0395352840423584,910,0.0003,-1.4064879424870014,-0.03713316097855568
4887,665.65,4571136,93,935,0.0,-0.008704329896985049,3.030976255118777e-11,0.2,0.17631022135416666,0.03251442,-2.157712936401367,920,0.0003,-1.3957222236941258,-0.013078808784484863
4885,914.65,4620288,94,945,0.0,-0.011959919507353334,1.145881668894887e-08,0.2,0.22113240559895833,0.046825975,0.48560917377471924,930,0.0003,-1.4075658009077112,-0.03886917605996132
4883,1168.93,4669440,95,956,0.0,-0.010016043868866594,5.640816998886892e-09,0.2,0.20817464192708332,0.036594346,0.806475043296814,940,0.0003,-1.423050719872117,-0.04603135213255882
4880,1283.26,4718592,96,966,0.0,-0.015334392623966171,1.0510216984702285e-08,0.2,0.20224405924479166,0.025638884,0.5415278673171997,950,0.0003,-1.3155321756377816,-0.023700449615716934
4878,1174.76,4767744,97,977,0.0,-0.009863740425619957,1.846835886991868e-08,0.2,0.16375732421875,0.03895455,0.7622231841087341,960,0.0003,-1.3703511506319046,-0.007608875632286072
4876,1210.35,4816896,98,987,0.0,-0.009109396194980945,2.1360700592763277e-08,0.2,0.20251261393229167,0.061307643,-11.996129035949707,970,0.0003,-1.345148996512095,0.012980170547962189
4875,1497.67,4866048,99,998,0.0,-0.027097834586311365,5.8382678153797576e-08,0.2,0.24612019856770834,0.045643073,-0.6341468095779419,980,0.0003,-1.4475902096678814,-0.06701873987913132
4874,1770.02,4915200,100,1008,0.0,-0.005864679144118175,5.6005997181585164e-08,0.2,0.22949422200520833,0.03585715,-28.014789581298828,990,0.0003,-1.3723606860886017,-0.013800330460071564
4872,1877.93,4964352,101,1018,0.0,-0.014831365027081727,2.1043999792895134e-08,0.2,0.178692626953125,0.08589405,-0.6416609287261963,1000,0.0003,-1.317175192013383,0.02721530944108963
4871,1069.83,5013504,102,1029,0.0,-0.012996065137728389,2.719415119146797e-07,0.2,0.261285400390625,0.07390945,-4.763484477996826,1010,0.0003,-1.3628901426990827,0.04917353391647339
