time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
83968,41,460,0.0,182,169.08,-2.170459032058716,1.8801638181287216e-05,-0.014893584242963697,0.15869140625,0.0003,-1.0732428265735507,0.2,400,0.024845324,-0.009901795536279678
86016,42,460,0.0,186,180.39,-2.588850259780884,1.402739645559592e-05,-0.01121364833234111,0.09169921875,0.0003,-1.1091080326586962,0.2,410,0.009655945,-0.0392397940158844
88064,43,460,0.0,191,191.91,-2.924217462539673,1.4420831861627903e-05,-0.008472593462647638,0.07236328125,0.0003,-1.0019271185621619,0.2,420,0.011298606,-0.003105916315689683
90112,44,461,0.0,195,192.23,-3.582564353942871,3.389421899466782e-05,-0.004208802063658368,0.05107421875,0.0003,-0.8880229480564594,0.2,430,0.0055836374,0.01660863868892193
92160,45,461,0.0,199,195.76,-1.0897290706634521,2.332007514782575e-06,-0.004437260805570986,0.048291015625,0.0003,-0.819695289246738,0.2,440,0.0041143782,-0.00497721042484045
94208,46,462,0.0,203,207.3,-3.3084893226623535,5.8876652900785584e-05,-0.010000631105503999,0.044580078125,0.0003,-0.8091658137738704,0.2,450,0.0054419097,-0.013689105398952961
96256,47,462,0.0,208,204.96,-13.750103950500488,2.2191347757294368e-05,-0.009063533411244861,0.113232421875,0.0003,-0.8497038759291172,0.2,460,0.010488952,-0.04710386320948601
98304,48,462,0.0,212,208.89,-1.0889019966125488,1.8301485561922348e-06,-0.014903466911346187,0.156103515625,0.0003,-0.8787636015564203,0.2,470,0.07367054,-0.0557301864027977
100352,49,461,0.0,217,206.32,-0.2625906467437744,4.719581630894254e-05,-0.004189279067213647,0.08369140625,0.0003,-0.9884921966120601,0.2,480,0.0061618495,0.010474037379026413
102400,50,461,0.0,221,214.37,-0.5001537799835205,8.994513915672187e-07,-0.010217176056175958,0.105078125,0.0003,-1.0389961095526814,0.2,490,0.056508675,-0.03472914174199104
104448,51,461,0.0,226,215.34,-0.2056671380996704,2.5621838899070325e-05,-0.013568485205178149,0.1083984375,0.0003,-1.1512904170900584,0.2,500,0.009396583,-0.021428607404232025
106496,52,461,0.0,230,216.97,0.346041738986969,5.038959400494037e-06,-0.01036114267044468,0.097802734375,0.0003,-1.094799742475152,0.2,510,0.007911237,-0.011780869215726852
108544,53,461,0.0,235,216.02,-0.12769508361816406,3.95963689022949e-05,-0.007931703733629548,0.0720703125,0.0003,-0.9975421469658613,0.2,520,0.011703655,-0.012625863775610924
110592,54,460,0.0,240,215.36,0.7004718780517578,1.3407944716536945e-05,-0.005167932483891491,0.048291015625,0.0003,-1.0153765505179764,0.2,530,0.008619359,-0.01956671103835106
112640,55,459,0.0,244,217.1,-3.287755012512207,0.0007263957863273163,0.004378441585140535,0.047314453125,0.0003,-0.9947225881740451,0.2,540,0.01658617,-0.025074072182178497
114688,56,458,0.0,249,226.98,-4.753304958343506,0.00018292568127048492,-0.011489328775496688,0.08544921875,0.0003,-1.0138715943321586,0.2,550,0.014176213,-0.03715074434876442
116736,57,458,0.0,254,226.98,-0.20313656330108643,0.0001385300169687298,-0.010627730218402576,0.1779296875,0.0003,-1.0909090038388967,0.2,560,0.025817055,-0.017150133848190308
118784,58,458,0.0,258,231.52,-0.2723655700683594,5.812183376363578e-05,-0.006158237029740121,0.111083984375,0.0003,-1.1478991543874144,0.2,570,0.015244188,-0.04209786653518677
120832,59,459,0.0,263,236.57,0.5353702306747437,4.1190650935618575e-05,0.009062677084148162,0.077197265625,0.0003,-1.1135620202869176,0.2,580,0.010658533,-0.0300581231713295
122880,60,459,0.0,267,234.07,0.4156123995780945,3.5012959449076673e-06,-0.002408601589559112,0.032275390625,0.0003,-1.0853264877572655,0.2,590,0.007498677,0.01637093722820282
124928,61,459,0.0,272,232.88,0.2097453474998474,1.954458590773811e-05,-0.009616201675817138,0.09423828125,0.0003,-1.0114786503836513,0.2,600,0.0056167264,-0.013582093641161919
126976,62,459,0.0,276,225.15,0.6243566274642944,8.198586750829406e-06,-0.00713812379144656,0.0892578125,0.0003,-0.9948299141600728,0.2,610,0.008985219,-0.031616054475307465
129024,63,459,0.0,281,222.6,0.17630332708358765,8.274693910692577e-06,-0.007369363393081585,0.08603515625,0.0003,-0.9554778026416898,0.2,620,0.0064448128,0.006264283787459135
131072,64,459,0.0,285,217.5,0.07408124208450317,2.0951452403217275e-06,-0.0088881858609966,0.079833984375,0.0003,-0.957092821970582,0.2,630,0.005029424,0.0036781837698072195
133120,65,458,0.0,290,220.36,-0.4232327938079834,8.98725391920152e-06,-0.004113005384715507,0.05166015625,0.0003,-0.8743294216692448,0.2,640,0.00689581,-0.025182118639349937
