time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
4051,1179648,0.8515507578849792,24,19.6,291,230,-0.0009109509002276657,0.2,0.0067416835,0.0003,-0.9330575484161575,0.01535995424662057,0.012138615362346172,0.29032057523727417,0.057694498697916666,,,
4049,1228800,0.7338554263114929,25,16.76,303,240,-0.001153292245786967,0.2,0.0066374764,0.0003,-0.9170118848482768,0.016550030611445738,0.006913098972290754,0.2898823618888855,0.049786376953125,,,
4044,1277952,0.7490038871765137,26,17.78,315,250,-0.0006821381298929434,0.2,0.0059485785,0.0003,-0.8963897767476737,0.01723870566590146,0.026809636503458023,0.2745620608329773,0.04285888671875,,,
4038,1327104,0.7692852020263672,27,17.99,328,260,-0.0014280918614531402,0.2,0.007344,0.0003,-0.894529955709974,0.017848583158775,0.00875000562518835,0.2879040241241455,0.05453898111979167,,,
4038,1376256,0.7145233750343323,28,16.56,340,270,-0.0011073123232563375,0.2,0.005071933,0.0003,-0.8986889796331525,0.016180662530556826,0.009313027374446392,0.29745376110076904,0.043829345703125,,,
4037,1425408,0.7592852115631104,29,18.0,353,280,-0.0011198636679788858,0.2,0.0058460142,0.0003,-0.8829549951478839,0.014645243983250112,0.0037521570920944214,0.3019580841064453,0.046036783854166666,,,
4036,1474560,0.7430117130279541,30,17.0,365,290,-0.0010512123345203387,0.2,0.006358726,0.0003,-0.8603616390998164,0.017120280774057996,0.004512126557528973,0.2896215319633484,0.048689778645833334,,,
4035,1523712,0.7986172437667847,31,18.3,377,300,-0.0007245809127804629,0.2,0.007144647,0.0003,-0.8450660993345082,0.01700798933416081,0.008007587864995003,0.27769380807876587,0.0428466796875,,,
4035,1572864,0.7240311503410339,32,17.12,389,310,-0.0009160911415468339,0.2,0.0054859705,0.0003,-0.8221480998210609,0.016951058642735006,0.013160141184926033,0.2850358486175537,0.0478515625,,,
4034,1622016,0.8271405696868896,33,18.34,402,320,-0.0008208644210753846,0.2,0.006104555,0.0003,-0.8207361864236494,0.018204812348267298,-0.0008572852239012718,0.27622199058532715,0.04009195963541667,,,
4033,1671168,0.789355456829071,34,18.13,414,330,-0.0011779576698851693,0.2,0.006091513,0.0003,-0.8243922774059077,0.01709526319828001,0.004286354873329401,0.28818774223327637,0.0379638671875,,,
4033,1720320,0.7076874375343323,35,16.22,426,340,-0.0008670209625051938,0.2,0.0052309087,0.0003,-0.8271092360528807,0.016961834869046774,0.014065581373870373,0.28887736797332764,0.04791056315104167,,,
4032,1769472,0.7223789691925049,36,17.57,438,350,-0.00170806379798402,0.2,0.007110936,0.0003,-0.8082589959415297,0.017224149802253428,-0.0033145854249596596,0.28173428773880005,0.05788981119791667,,,
4033,1818624,0.78076171875,37,17.82,450,360,-0.001241560239395767,0.2,0.00608802,0.0003,-0.8115797426551581,0.018948102533613564,0.0006243884563446045,0.2747511863708496,0.04968465169270833,,,
4033,1867776,0.7954530119895935,38,18.99,463,370,-0.0005226271775124284,0.2,0.004585784,0.0003,-0.8090249770941834,0.017150215423801757,0.010461809113621712,0.2927481532096863,0.036728922526041666,,,
4029,1916928,0.7767187356948853,39,19.08,475,380,-0.0010753908324356114,0.2,0.0058080927,0.0003,-0.7989688330950836,0.016994951727610896,0.004140276461839676,0.28579181432724,0.040399169921875,,,
4025,1966080,0.7596719264984131,40,18.17,488,390,-0.001089043393767497,0.2,0.0053964164,0.0003,-0.7920766518761714,0.01841885378865603,0.005843724124133587,0.27596932649612427,0.035532633463541664,,,
