time/fps,time/total_timesteps,time/iterations,shield/stage,rollout/ep_rew_mean,shield/transition_timestep,time/time_elapsed,shield/delta,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss
3909,2211840,45,,0.7815000414848328,,565,,36.58,0.012566519151975323,0.0027374632,0.004952928517013788,0.020487467447916668,440,0.2,0.5052458643913269,-0.0016685125293709766,0.0003,-0.17017342730735738
3909,2260992,46,,0.8191110491752625,,578,,41.4,0.01260112893069163,0.0025900893,0.006529606878757477,0.02041015625,450,0.2,0.5034403800964355,-0.0015029824087832821,0.0003,-0.17534602511829386
3909,2310144,47,,0.7811111211776733,,590,,40.65,0.013450970920287849,0.0021148042,0.005547662265598774,0.018668619791666667,460,0.2,0.4903215765953064,-0.0009362175294882035,0.0003,-0.16908112817133467
3909,2359296,48,,0.7150832414627075,,603,,36.72,0.011528871227104295,0.0026490546,0.004957583732903004,0.022821044921875,470,0.2,0.5098426342010498,-0.0016558152937553436,0.0003,-0.16391414185442651
3911,2408448,49,,0.7868055105209351,,615,,39.01,0.01207722386388923,0.0028366372,0.0032189148478209972,0.021016438802083332,480,0.2,0.4985002279281616,-0.001474225040510646,0.0003,-0.17498174361341323
3911,2457600,50,,0.7519721984863281,,628,,40.75,0.01166802730319129,0.009915245,0.0008132606744766235,0.02244873046875,490,0.2,0.4750044345855713,-0.0015801872377778636,0.0003,-0.18713315935650218
3911,2506752,51,,0.7766944766044617,,640,,42.04,0.013472897290921538,0.0046820557,0.00844699889421463,0.0239013671875,500,0.2,0.49104803800582886,-0.0013535900393132276,0.0003,-0.19841345835011454
3909,2555904,52,,0.8323055505752563,,653,,39.38,0.012807193779493294,0.002711524,-0.001262784469872713,0.021537272135416667,510,0.2,0.4959779381752014,-0.00144808605673461,0.0003,-0.18753181404123703
3907,2605056,53,,0.7945554852485657,,666,,40.18,0.012374669210112188,0.0018485392,0.0035129059106111526,0.021077473958333332,520,0.2,0.49964869022369385,-0.0012924177081307183,0.0003,-0.17411360555173208
3905,2654208,54,,0.7471111416816711,,679,,39.05,0.013188395157339983,0.0020877104,0.006136598065495491,0.021610514322916666,530,0.2,0.4843870997428894,-0.0017835266218753532,0.0003,-0.18025374501012265
