time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
356,4828,1720320,35,38.49,0.7198888659477234,0.005080167204141617,-0.2791263040698444,340,0.012280865874830245,0.0003,0.029300944010416666,0.0029697446,0.2,0.5168095827102661,-0.001745684305630372
366,4830,1769472,36,38.81,0.710361123085022,0.0020396364852786064,-0.27194512700662016,350,0.01298509274905276,0.0003,0.027480061848958334,0.0029999001,0.2,0.5075550079345703,-0.0014439409602952462
376,4833,1818624,37,39.96,0.7831665873527527,0.004232404753565788,-0.26046832611318677,360,0.013001914400228997,0.0003,0.026369222005208335,0.0027858012,0.2,0.5108534097671509,-0.0013116378993800026
386,4835,1867776,38,40.04,0.8324443697929382,0.0033191675320267677,-0.253077211487107,370,0.012242481744518348,0.0003,0.029634602864583335,0.0030126795,0.2,0.5184841156005859,-0.00150542707178829
396,4832,1916928,39,39.78,0.7750277519226074,0.006967081688344479,-0.22979121108849843,380,0.012024906673953712,0.0003,0.02718505859375,0.006439923,0.2,0.5016804337501526,-0.0016879962241243144
406,4830,1966080,40,38.91,0.7879166603088379,0.006924874149262905,-0.24237862085768333,390,0.013717036294110585,0.0003,0.027986653645833335,0.0034870598,0.2,0.477026104927063,-0.0012289435818274796
419,4801,2015232,41,38.87,0.7562223076820374,0.007853338494896889,-0.23782577630287657,400,0.013029835018339023,0.0003,0.029665120442708335,0.0030581362,0.2,0.5031871795654297,-0.0017871464748774695
429,4803,2064384,42,37.41,0.7620555758476257,0.006699849851429462,-0.22962492222432046,410,0.01226327427624104,0.0003,0.02923583984375,0.0028166652,0.2,0.5024474859237671,-0.0014788393684890858
439,4805,2113536,43,39.31,0.7749722003936768,0.007086383178830147,-0.22027914164743076,420,0.01203099991689669,0.0003,0.025592041015625,0.002830507,0.2,0.501743733882904,-0.0015214900583790344
449,4806,2162688,44,42.58,0.7701944708824158,0.00430675595998764,-0.21727148294448853,430,0.012292028809072993,0.0003,0.024361165364583333,0.0029440306,0.2,0.504715085029602,-0.0014044514412792826
459,4808,2211840,45,41.13,0.7686111330986023,0.009284069761633873,-0.22104159224157532,440,0.01256118802605973,0.0003,0.026812744140625,0.0027180978,0.2,0.5075708627700806,-0.00152232366563112
470,4810,2260992,46,39.19,0.7945556044578552,-0.00028173020109534264,-0.19944006683460128,450,0.011478948143485468,0.0003,0.021738688151041668,0.0019688474,0.2,0.5111839771270752,-0.0014516139638847865
480,4811,2310144,47,40.32,0.7445555925369263,0.013476992025971413,-0.2048032169463113,460,0.012091749403528715,0.0003,0.025095621744791668,0.0038642054,0.2,0.507112979888916,-0.0016592245717523232
490,4813,2359296,48,40.77,0.7809445261955261,0.005323340184986591,-0.22710772309607516,470,0.012642447983913977,0.0003,0.027815755208333334,0.0033855017,0.2,0.4986838102340698,-0.0017075690003669783
500,4812,2408448,49,40.44,0.7735555171966553,0.0008537122048437595,-0.21437733369724205,480,0.011160901043816314,0.0003,0.0273193359375,0.004868821,0.2,0.5162566900253296,-0.00150527510328781
510,4810,2457600,50,38.5,0.7307500243186951,-0.0006694300100207329,-0.22561120106838645,490,0.012587889203859958,0.0003,0.02783203125,0.004169315,0.2,0.5107215046882629,-0.0013761866372078656
