time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/loss
131072,263,497,64,24.61,0.7131484499999999,0.4338940978050232,-0.8040114734321833,0.15419921875,630,0.0003,0.01631435792078264,-0.01711859886709135,0.2,0.014852915,-0.02952755242586136
133120,267,496,65,25.92,0.6790195699999999,0.3915967345237732,-0.7665152292698622,0.1314453125,640,0.0003,0.01854362797457725,-0.0164572096808115,0.2,0.014059535,-0.020054955035448074
135168,272,496,66,22.41,0.6994765900000001,0.48337268829345703,-0.8189364382997155,0.1271484375,650,0.0003,0.02782606311957352,-0.010416503380110954,0.2,0.014300941,-0.00033515412360429764
137216,276,496,67,22.85,0.6709531400000001,0.4483668804168701,-0.7766855865716934,0.11689453125,660,0.0003,0.018818392003595363,-0.010572252555721206,0.2,0.011591656,0.02251260168850422
139264,280,495,68,23.23,0.64555863,0.26453739404678345,-0.7406964588910341,0.123193359375,670,0.0003,0.030293222315958702,-0.012979694359819405,0.2,0.013337474,-0.0012556295841932297
141312,285,495,69,22.83,0.7259257900000001,0.4688243865966797,-0.7968373514711857,0.11435546875,680,0.0003,0.02275433704489842,-0.01028020319645293,0.2,0.014172647,0.0030646687373518944
143360,289,495,70,23.02,0.6979999900000001,0.3568319082260132,-0.6918904356658458,0.117724609375,690,0.0003,0.018645425688737303,-0.010834374513069633,0.2,0.010233466,-0.009215067140758038
145408,293,495,71,25.71,0.7340977200000001,0.32165050506591797,-0.7387116020545363,0.127783203125,700,0.0003,0.025534096476621925,-0.012989826564444229,0.2,0.015796568,-0.002751660533249378
147456,297,494,72,28.83,0.72959767,0.4902564287185669,-0.7646923992782831,0.140966796875,710,0.0003,0.019323723865090868,-0.013839004236797337,0.2,0.018361859,-0.0293952114880085
149504,302,494,73,27.11,0.72861336,0.5291250944137573,-0.8228190002962947,0.139892578125,720,0.0003,0.013622583507822129,-0.01088835336122429,0.2,0.019570015,-0.016658790409564972
151552,306,494,74,26.61,0.69383205,0.32658272981643677,-0.813232223317027,0.16904296875,730,0.0003,0.019612696961848995,-0.014938487852487015,0.2,0.01982202,0.023741891607642174
153600,310,494,75,25.92,0.6631133000000001,0.4289376735687256,-0.8084556909278036,0.18408203125,740,0.0003,0.01686739871802274,-0.01696842852034024,0.2,0.031563476,0.02844351716339588
155648,315,493,76,22.48,0.65063672,0.4367145895957947,-0.7729689851403236,0.156787109375,750,0.0003,0.020382143918686778,-0.01402827505080495,0.2,0.037295766,-0.028340229764580727
157696,319,493,77,23.14,0.68687503,0.2774566411972046,-0.7156338382512331,0.130078125,760,0.0003,0.030116072201053612,-0.014251437530037946,0.2,0.014042675,-0.025328505784273148
159744,323,493,78,23.67,0.7511797,0.3159939646720886,-0.7183189943432808,0.105322265625,770,0.0003,0.024995468213455753,-0.01218385919346474,0.2,0.013649847,0.016536742448806763
161792,328,493,79,23.69,0.69938674,0.3316347002983093,-0.7057849481701851,0.10625,780,0.0003,0.014582738139142747,-0.0107589993160218,0.2,0.014812974,0.0012980494648218155
163840,332,492,80,23.22,0.76117967,0.3200727701187134,-0.7391765370965004,0.145166015625,790,0.0003,0.01439205352362478,-0.009091866449307418,0.2,0.015730727,0.020097320899367332
165888,336,492,81,27.07,0.74035151,0.29552310705184937,-0.7220041923224926,0.118359375,800,0.0003,0.014453321862674784,-0.008472798841103213,0.2,0.018631037,-0.018505729734897614
167936,340,492,82,23.29,0.68898439,0.3021519184112549,-0.7954354513436556,0.151708984375,810,0.0003,0.021554724861925934,-0.013675588775367942,0.2,0.024953306,0.007125180214643478
169984,345,492,83,23.85,0.72198828,0.3733919858932495,-0.7288835532963276,0.127099609375,820,0.0003,0.02365068930957932,-0.014219648612197489,0.2,0.013705361,0.005093504674732685
172032,349,492,84,23.98,0.64295707,0.29884010553359985,-0.6650983517989516,0.121240234375,830,0.0003,0.020234462979715317,-0.011427049334452022,0.2,0.013183638,-0.0014206748455762863
174080,353,492,85,22.83,0.7138867999999999,0.40927112102508545,-0.7769689869135619,0.178125,840,0.0003,0.023942817226634362,-0.013207101327134296,0.2,0.022908367,0.012650776654481888
176128,358,491,86,22.03,0.6415859599999999,0.3361351490020752,-0.6885039994493127,0.124462890625,850,0.0003,0.019540513241372535,-0.009275155399518554,0.2,0.0222633,0.026544541120529175
178176,362,491,87,19.32,0.6201289099999999,0.35377395153045654,-0.7131210763007403,0.130859375,860,0.0003,0.025843634849297813,-0.011062789203424472,0.2,0.017451275,0.0022205207496881485
180224,366,491,88,22.59,0.7158555,0.31873446702957153,-0.7118182500824333,0.111279296875,870,0.0003,0.03025208263134118,-0.007964655007526744,0.2,0.01112375,0.0051400428637862206
182272,370,491,89,23.5,0.7427617699999999,0.3456304669380188,-0.6880118692293763,0.13876953125,880,0.0003,0.01686484931706218,-0.013105133092903998,0.2,0.016796459,0.036624111235141754
184320,375,491,90,23.27,0.7628320899999999,0.3640528917312622,-0.692815400287509,0.119677734375,890,0.0003,0.018627105767518515,-0.009773893526289611,0.2,0.014533962,-0.0035432185977697372
186368,379,491,91,21.45,0.70098832,0.3540368676185608,-0.6643168019130826,0.130908203125,900,0.0003,0.016054284607525914,-0.015601533313747496,0.2,0.015257128,0.003730097785592079
188416,383,490,92,22.86,0.64211334,0.31046682596206665,-0.6484704494476319,0.12685546875,910,0.0003,0.021129052234027768,-0.011255272448033793,0.2,0.0129753575,-0.020684050396084785
190464,388,490,93,21.46,0.7106016099999999,0.33518487215042114,-0.6839313432574272,0.102587890625,920,0.0003,0.029548820658237673,-0.01091360724385595,0.2,0.012582829,0.02432478405535221
192512,392,490,94,19.82,0.71478526,0.3561411499977112,-0.6254025474190712,0.098828125,930,0.0003,0.02183633906970499,-0.010281981409934814,0.2,0.011306491,0.014593200758099556
194560,396,490,95,21.85,0.7565937999999999,0.3202447295188904,-0.6139871621504426,0.10029296875,940,0.0003,0.022842119382403325,-0.008270294657268095,0.2,0.012134416,0.01516692340373993
196608,401,490,96,24.42,0.7875586099999999,0.3538862466812134,-0.6586511934176087,0.11318359375,950,0.0003,0.017861082349554636,-0.010733026117668487,0.2,0.012125309,-0.006412522867321968
198656,405,490,97,24.28,0.6833945700000001,0.31665992736816406,-0.6529285952448844,0.1287109375,960,0.0003,0.01362784957018448,-0.015022516298631671,0.2,0.015936237,-1.3562850654125214e-05
200704,409,489,98,19.95,0.67541801,0.30368006229400635,-0.6910597268491984,0.130126953125,970,0.0003,0.027039126337331253,-0.011438580649337383,0.2,0.032509245,-0.0016162432730197906
