time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
423,1671168,34,3943,39.09,982682,0,459003,0.6958333849906921,-0.5805453779175878,-0.0026168978652700995,0.0003,0.05472005208333333,0.011276653745638517,0.5502122640609741,330,0.2,0.006480994634330273,0.004647887,,,
436,1720320,35,3941,43.52,1019754,0,469972,0.7188055515289307,-0.5496517108442883,-0.0027073489345639246,0.0003,0.056351725260416666,0.011611878494538057,0.5254315733909607,340,0.2,0.011240005493164062,0.0048489445,,,
449,1769472,36,3939,43.19,1056951,0,480778,0.7589444518089294,-0.5329527770945182,-0.002003802984563663,0.0003,0.050858561197916666,0.011279342913621804,0.533867359161377,350,0.2,0.0038494339678436518,0.0041310624,,,
461,1818624,37,3936,42.14,1094145,0,491611,0.748166561126709,-0.5074716048004727,-0.0022301953760688773,0.0003,0.05044352213541667,0.011100973456389813,0.5484245419502258,360,0.2,0.00596452783793211,0.0048185247,,,
474,1867776,38,3934,42.13,1131653,0,502169,0.7774999737739563,-0.520530637850364,-0.002027442937590725,0.0003,0.053753662109375,0.011713188035355416,0.5437912940979004,370,0.2,0.0046176305040717125,0.004960109,,,
487,1916928,39,3933,39.23,1169260,0,512693,0.7485833764076233,-0.48955360112401347,-0.0025604155750746332,0.0003,0.05283406575520833,0.011245000943987785,0.5504856109619141,380,0.2,0.005228633061051369,0.00468448,,,
499,1966080,40,3932,40.07,1206898,0,523182,0.7539999485015869,-0.4780357125836114,-0.001780761689163531,0.0003,0.046697998046875,0.010804326251187983,0.5445623397827148,390,0.2,-0.008698146790266037,0.0040460206,,,
513,2015232,41,3928,65.29,1246884,0,531273,0.45180556178092957,-0.4714862442885836,-0.0016749976501159835,0.0003,0.045491536458333336,0.011093341262070074,0.5447995662689209,400,0.2,0.00024720653891563416,0.003998567,1,0.5,2000016
526,2064384,42,3924,59.95,1290453,0,534289,0.3275277614593506,-0.5056290266104042,-0.003620514746095675,0.0003,0.06175537109375,0.015476756822317838,0.36178022623062134,410,0.2,-0.011162424460053444,0.011482551,,,
539,2113536,43,3920,64.37,1334266,0,537264,0.47200003266334534,-0.6633263357294102,-0.005915507470187246,0.0003,0.104071044921875,0.017552986991843985,0.3553808927536011,420,0.2,-0.008399507030844688,0.01192012,,,
552,2162688,44,3916,62.28,1378147,0,540230,0.5504444241523743,-0.6404126803390682,-0.005055133823649764,0.0003,0.07962646484375,0.017017273322077624,0.3965141773223877,430,0.2,0.006577382795512676,0.007130997,,,
565,2211840,45,3912,55.21,1421980,0,543481,0.5504443645477295,-0.6198367843093971,-0.004803280629494111,0.0003,0.07626749674479166,0.01688673115762261,0.4241669178009033,440,0.2,-0.0018559210002422333,0.005837265,,,
578,2260992,46,3911,58.2,1466071,0,546824,0.5947777628898621,-0.5696726124112804,-0.005452177614703639,0.0003,0.075958251953125,0.018186527922322664,0.42779868841171265,450,0.2,0.012247885577380657,0.005565191,,,
590,2310144,47,3911,53.31,1510729,0,549910,0.5505000352859497,-0.533256366988644,-0.0058433370844795714,0.0003,0.077264404296875,0.01791100353099561,0.4254034161567688,460,0.2,0.00943338219076395,0.0053878124,,,
603,2359296,48,3912,53.89,1555509,0,552953,0.6709166169166565,-0.4776853018285086,-0.005190340471987535,0.0003,0.070208740234375,0.0178638904816277,0.4436701536178589,470,0.2,0.00229470431804657,0.0050784866,,,
615,2408448,49,3911,52.9,1600559,0,555865,0.6832222938537598,-0.4523409878524641,-0.005317767051322638,0.0003,0.0693115234375,0.016685026817625234,0.4729313850402832,480,0.2,-0.006391491740942001,0.0048568705,,,
628,2457600,50,3910,50.62,1645955,0,558664,0.7633056044578552,-0.43020020076073706,-0.004677863940378302,0.0003,0.06616617838541666,0.016147653202157622,0.48525571823120117,490,0.2,0.007872032932937145,0.004807379,,,
641,2506752,51,3910,48.78,1691497,0,561286,0.6843889355659485,-0.3913763189688325,-0.0035401830877769195,0.0003,0.056803385416666664,0.014650761811935809,0.5025595426559448,500,0.2,0.007535797543823719,0.0060404353,,,
653,2555904,52,3910,47.9,1737278,0,563809,0.7816668152809143,-0.3800403791479766,-0.003225764591419041,0.0003,0.050736490885416666,0.014365923851922464,0.4991167187690735,510,0.2,-0.0024654981680214405,0.0038412288,,,
666,2605056,53,3910,43.42,1783078,0,566410,0.7255832552909851,-0.338178034638986,-0.0033177777243812065,0.0003,0.052197265625,0.012498021990419753,0.5347107648849487,520,0.2,0.003533892333507538,0.0042856527,,,
