time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
104448,0.0,225,463,60.0,51,-0.0522439070045948,-1.6422444354742765,-0.020401542831677943,0.02122568,500,0.18974609375,-1.9396040439605713,2.761884437632034e-05,0.2,0.0003
106496,0.0,229,463,60.0,52,-0.011203733272850513,-1.6419453997164966,-0.02025535505381413,0.014453411,510,0.151806640625,-3.154904842376709,0.00011400801425338613,0.2,0.0003
108544,0.0,234,462,60.0,53,-0.03906849026679993,-1.62681774944067,-0.019171339966123923,0.019382494,520,0.204443359375,-0.5813119411468506,0.00010096749257400006,0.2,0.0003
110592,0.0,238,462,60.0,54,0.027671966701745987,-1.6125876527279615,-0.01883567183249397,0.015138887,530,0.160791015625,-0.8600250482559204,2.8393042305197015e-05,0.2,0.0003
112640,0.0,243,462,60.0,55,-0.05689603090286255,-1.6251832015812397,-0.024067560205003245,0.01672506,540,0.20517578125,-0.9240947961807251,3.619447167579892e-05,0.2,0.0003
114688,0.0,247,462,60.0,56,0.03930628299713135,-1.5949483189731837,-0.020829521973792,0.018967668,550,0.185791015625,-0.5690321922302246,3.0388028562811087e-05,0.2,0.0003
116736,0.0,252,462,60.0,57,-0.0209168940782547,-1.5649633131921292,-0.01878640746435849,0.013172398,560,0.156103515625,-4.369876384735107,3.290106640747581e-05,0.2,0.0003
118784,0.0,256,462,60.0,58,-0.010839186608791351,-1.5874466504901648,-0.01723648869738099,0.016263919,570,0.13984375,-1.9636096954345703,7.03229607324829e-05,0.2,0.0003
120832,0.0,261,462,60.0,59,-0.02503044530749321,-1.5631200540810823,-0.02119046908337623,0.021326512,580,0.160498046875,-1.6642179489135742,2.4299518489101502e-05,0.2,0.0003
122880,0.0,266,461,60.0,60,-0.03711743280291557,-1.5388706527650355,-0.015328021364257437,0.0148700625,590,0.141650390625,-2.8054797649383545,2.8548010162410266e-05,0.2,0.0003
124928,0.0,270,461,60.0,61,-0.01921437494456768,-1.556079338490963,-0.024489597602223512,0.019178895,600,0.232177734375,-3.14578914642334,3.6613816166664034e-05,0.2,0.0003
126976,0.0,275,461,60.0,62,-0.03932609036564827,-1.5292054791003467,-0.021368136005185077,0.014089839,610,0.16015625,-1.0717175006866455,2.8526438026688083e-05,0.2,0.0003
129024,0.0,280,460,60.0,63,-0.032866619527339935,-1.5123614672571422,-0.019019194018619602,0.018975023,620,0.1830078125,-0.7895597219467163,1.7402589652704136e-05,0.2,0.0003
131072,0.0,284,460,60.0,64,-0.06808854639530182,-1.5434543438255788,-0.02325849274348002,0.019489413,630,0.174169921875,0.17928826808929443,2.3338065489042492e-05,0.2,0.0003
133120,0.0,289,460,60.0,65,-0.02609924040734768,-1.538514329493046,-0.019397751087672076,0.018118339,640,0.198486328125,-2.3153889179229736,5.1269960806621384e-05,0.2,0.0003
135168,0.0,293,460,60.0,66,-0.07117057591676712,-1.5267026886343955,-0.02768453664757544,0.019219212,650,0.246337890625,-2.291024684906006,1.4895229205080795e-05,0.2,0.0003
137216,0.0,298,460,60.0,67,-0.041341669857501984,-1.502538837492466,-0.021982979003951186,0.014676306,660,0.172021484375,-0.9245527982711792,2.6401435565048815e-05,0.2,0.0003
139264,0.0,302,459,60.0,68,-0.041043300181627274,-1.4862355682998896,-0.024433227635745423,0.023241747,670,0.2390625,-1.4363980293273926,1.3543933026483045e-05,0.2,0.0003
141312,0.0,307,459,60.0,69,-0.012982768006622791,-1.4857225447893143,-0.019110808719779014,0.015367834,680,0.162109375,-1.62762451171875,4.3549975157475276e-05,0.2,0.0003
143360,0.0,312,458,60.0,70,-0.034288860857486725,-1.4713455624878407,-0.018298056710045786,0.017395299,690,0.15751953125,-2.1094255447387695,1.3363492661255804e-05,0.2,0.0003
145408,0.0,317,458,60.0,71,-0.01263947319239378,-1.5038337241858244,-0.020807868681731633,0.017608698,700,0.189111328125,-0.5740435123443604,1.0954373433946784e-05,0.2,0.0003
147456,0.0,321,458,60.0,72,0.01103181205689907,-1.5201686762273312,-0.018155882758583174,0.020045754,710,0.1755859375,-0.321185827255249,1.8089424652600884e-05,0.2,0.0003
149504,0.0,326,458,60.0,73,-0.013830901123583317,-1.4864202745258808,-0.015343943014158867,0.012815892,720,0.14970703125,-2.5598931312561035,2.181374853194029e-05,0.2,0.0003
151552,0.0,330,458,60.0,74,-0.017792293801903725,-1.4218549959361553,-0.018762005384633084,0.014591867,730,0.149853515625,0.5084550976753235,1.9138574477040037e-05,0.2,0.0003
153600,0.0,334,458,60.0,75,-0.03255954757332802,-1.450179009884596,-0.019502680300502107,0.014162226,740,0.1228515625,-1.723402738571167,2.7194829148413646e-05,0.2,0.0003
155648,0.0,339,458,60.0,76,-0.023077327758073807,-1.440898261591792,-0.022144373439368793,0.017684147,750,0.194873046875,-2.300785779953003,1.042170034963874e-05,0.2,0.0003
157696,0.0,343,458,60.0,77,-0.00678664818406105,-1.4502870596945285,-0.018893095378007273,0.0133014005,760,0.14208984375,-4.012847423553467,1.5884187739345634e-05,0.2,0.0003
159744,0.0,348,458,60.0,78,0.024011176079511642,-1.4140032719820739,-0.01838518293297966,0.023845686,770,0.194580078125,-2.3268136978149414,2.3439538934155736e-05,0.2,0.0003
161792,0.0,353,457,60.0,79,-0.022984793409705162,-1.429005765542388,-0.02167107498389669,0.020437526,780,0.209521484375,0.4131264090538025,3.859963680952205e-05,0.2,0.0003
163840,0.0,358,457,60.0,80,-0.03398334980010986,-1.417532056197524,-0.020058931251696777,0.018214516,790,0.194873046875,-0.33233165740966797,2.26931298072941e-05,0.2,0.0003
165888,0.0,362,457,60.0,81,-0.025853531435132027,-1.3790458034723998,-0.01938439156365348,0.019723397,800,0.18076171875,-0.7371222972869873,6.552339870324886e-06,0.2,0.0003
167936,0.0,367,457,60.0,82,0.019649619236588478,-1.3831162963062524,-0.02108357713004807,0.01704184,810,0.19716796875,-1.4937188625335693,6.234184392894804e-06,0.2,0.0003
169984,0.0,371,457,60.0,83,-0.034362658858299255,-1.392199907079339,-0.020681767999485602,0.015080556,820,0.1498046875,-0.2990924119949341,7.854877766249047e-05,0.2,0.0003
172032,0.0,376,456,60.0,84,-0.04526884853839874,-1.3524557933211327,-0.017139914535800927,0.012971077,830,0.128369140625,-3.12038516998291,1.222966406757564e-05,0.2,0.0003
174080,0.0,381,456,60.0,85,-0.024119969457387924,-1.343292635679245,-0.01920459826651495,0.014969834,840,0.168603515625,-1.8969106674194336,2.0503930073800802e-05,0.2,0.0003
176128,0.0,385,456,60.0,86,-0.03009924665093422,-1.3006453532725573,-0.019586791073379572,0.016751133,850,0.13798828125,0.4106435775756836,1.967263659139462e-05,0.2,0.0003
178176,0.0,389,457,60.0,87,-0.04356919601559639,-1.3233348470181228,-0.019729810914577685,0.012363675,860,0.13720703125,-0.44074416160583496,1.1580077411821322e-05,0.2,0.0003
180224,0.0,394,457,60.0,88,-0.034290049225091934,-1.2872128732502461,-0.014292407746688695,0.0110574495,870,0.122265625,-0.2908341884613037,5.5522041471078865e-06,0.2,0.0003
182272,0.0,398,457,60.0,89,0.005419522058218718,-1.2888497859239578,-0.014010168438107939,0.012907157,880,0.12451171875,-1.1829285621643066,5.655377099955672e-06,0.2,0.0003
184320,0.0,402,457,60.0,90,-0.007304470986127853,-1.1676853951066732,-0.01015989523002645,0.016155593,890,0.110595703125,-3.318458080291748,1.253695353611306e-05,0.2,0.0003
186368,0.0,406,457,60.0,91,-0.014138665050268173,-1.1577401503920555,-0.020514578650181647,0.026814554,900,0.18330078125,-0.979731559753418,6.965039775153059e-06,0.2,0.0003
188416,0.0,411,458,60.0,92,-0.032082170248031616,-1.172837508097291,-0.017492830122864688,0.014235936,910,0.147802734375,0.09629791975021362,9.036596257772089e-06,0.2,0.0003
190464,0.0,415,458,60.0,93,-0.026393452659249306,-1.15699545443058,-0.020666364948556292,0.029297588,920,0.168701171875,-0.10895395278930664,3.915381044095057e-06,0.2,0.0003
192512,0.0,420,458,60.0,94,-0.05221828073263168,-1.0954678820446133,-0.02027654807752697,0.016601995,930,0.184375,0.40644270181655884,2.9653621734837542e-05,0.2,0.0003
194560,0.0,424,458,60.0,95,-0.05616110563278198,-1.10547184497118,-0.023907999360380926,0.014914641,940,0.149560546875,-0.26770973205566406,1.6226110686545782e-05,0.2,0.0003
196608,0.0,428,458,60.0,96,-0.024639884009957314,-1.177438946813345,-0.017317846239893697,0.016576527,950,0.15283203125,0.2458282709121704,2.7768540519446105e-05,0.2,0.0003
198656,0.0,433,458,60.0,97,-0.04110005870461464,-1.2031790509819984,-0.024294549608021042,0.015663551,960,0.15556640625,-0.1588284969329834,1.4452750151860983e-05,0.2,0.0003
200704,0.0,437,458,60.0,98,-0.03692115470767021,-1.2612566899508237,-0.02516846954531502,0.015770052,970,0.193359375,-0.049402594566345215,1.355589680400726e-05,0.2,0.0003
