time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,shield/ignore_prob,shield/transition_timestep,shield/stage
2113536,4312,490,43,0.8751069903373718,26.9,-0.005203969776630402,-0.24515670083928853,0.017911783854166665,0.5557683706283569,-0.0011572397522589502,0.2,0.0003,0.00283068760036258,420,0.005024895,,,
2162688,4310,501,44,0.84717857837677,26.31,-0.004372714553028345,-0.23678308731565872,0.019199625651041666,0.5716235637664795,-0.0010578142048567921,0.2,0.0003,0.002560140361492813,430,0.0072189183,,,
2211840,4309,513,45,0.8810356259346008,27.78,-0.004646499641239643,-0.23621838622105618,0.014501953125,0.556782066822052,-0.0007965987827750117,0.2,0.0003,0.002758055039945854,440,0.0020390216,,,
2260992,4308,524,46,0.8903213739395142,27.93,-0.001565856859087944,-0.21929880149352055,0.01409912109375,0.536432147026062,-0.0011278802162147865,0.2,0.0003,0.0030201721121557055,450,0.004489688,,,
2310144,4307,536,47,0.8849285840988159,26.67,-0.000907503766939044,-0.20889064900111406,0.016074625651041667,0.5584525465965271,-0.0014469797838501108,0.2,0.0003,0.002683245391017408,460,0.0033507745,,,
2359296,4306,547,48,0.8863571882247925,29.07,0.0026780993212014437,-0.24141702443982163,0.023628743489583333,0.5724563002586365,-0.0011613760791685005,0.2,0.0003,0.0024433469097251267,470,0.0056840205,,,
2408448,4305,559,49,0.8694999814033508,28.26,-0.00948987528681755,-0.25949908879896005,0.042093912760416664,0.542057454586029,-0.004174096225263687,0.2,0.0003,0.0026285523060626775,480,0.004461093,,,
2457600,4304,570,50,0.899071455001831,28.26,-0.004360922612249851,-0.20110209957541278,0.038970947265625,0.5367104411125183,-0.003997726340700562,0.2,0.0003,0.0030057724688352513,490,0.08100676,,,
2506752,4303,582,51,0.9020355939865112,27.43,0.003053413238376379,-0.19088108465851594,0.024643961588541666,0.5108713507652283,-0.0017407490217010491,0.2,0.0003,0.0034332868840768545,500,0.027383238,,,
2555904,4302,594,52,0.8921785950660706,27.43,0.00264435145072639,-0.18124762383134416,0.014125569661458334,0.5689800977706909,-0.0008970279652506482,0.2,0.0003,0.0026191647421001107,510,0.002016478,,,
